C0 (279 genes)	C1 (129 genes)	C2 (65 genes)	C3 (67 genes)	C4 (89 genes)	C5 (235 genes)	C6 (103 genes)	C7 (37 genes)
MED134_01080	MED134_02215	MED134_03804	MED134_03489	MED134_02430	MED134_00910	MED134_02245	MED134_08316
MED134_01090	MED134_02545	MED134_04249	MED134_03674	MED134_02495	MED134_01005	MED134_02365	MED134_09051
MED134_01100	MED134_02595	MED134_04624	MED134_03899	MED134_02720	MED134_01020	MED134_02390	MED134_09321
MED134_01190	MED134_02680	MED134_05204	MED134_04209	MED134_02780	MED134_01030	MED134_02395	MED134_09716
MED134_01310	MED134_02875	MED134_05249	MED134_04384	MED134_02865	MED134_01290	MED134_02415	MED134_09721
MED134_01350	MED134_02930	MED134_06049	MED134_04489	MED134_03075	MED134_01385	MED134_02420	MED134_10356
MED134_01415	MED134_03030	MED134_06134	MED134_05314	MED134_03599	MED134_01390	MED134_02425	MED134_10361
MED134_01460	MED134_03040	MED134_06174	MED134_05514	MED134_03844	MED134_01505	MED134_02440	MED134_10610
MED134_01585	MED134_03169	MED134_06194	MED134_05519	MED134_03954	MED134_01510	MED134_02445	MED134_11911
MED134_01615	MED134_03289	MED134_06374	MED134_05539	MED134_04219	MED134_01570	MED134_02450	MED134_11916
MED134_01665	MED134_03459	MED134_06464	MED134_05554	MED134_04404	MED134_01580	MED134_02455	MED134_11921
MED134_01835	MED134_03654	MED134_06529	MED134_05564	MED134_04604	MED134_01695	MED134_02505	MED134_11926
MED134_01840	MED134_04019	MED134_06859	MED134_05619	MED134_05049	MED134_01800	MED134_02510	MED134_11931
MED134_01845	MED134_04079	MED134_06864	MED134_05674	MED134_05284	MED134_01875	MED134_02605	MED134_11936
MED134_01855	MED134_04239	MED134_06904	MED134_05689	MED134_05429	MED134_01885	MED134_02970	MED134_11941
MED134_01945	MED134_04324	MED134_06909	MED134_05764	MED134_05469	MED134_01895	MED134_03144	MED134_11946
