C0 (300 genes)	C1 (88 genes)	C2 (142 genes)	C3 (297 genes)	C4 (131 genes)	C5 (90 genes)
MED134_03649	MED134_13421	MED134_02620	MED134_04689	MED134_07786	MED134_12356
MED134_03659	MED134_13456	MED134_02770	MED134_04709	MED134_07896	MED134_12366
MED134_03684	MED134_13806	MED134_02855	MED134_04744	MED134_08051	MED134_12591
MED134_03714	MED134_14001	MED134_02880	MED134_04849	MED134_08111	MED134_12611
MED134_03724	MED134_14066	MED134_03000	MED134_04854	MED134_08151	MED134_13411
MED134_03749	MED134_14226	MED134_03224	MED134_04859	MED134_08161	MED134_13416
MED134_03754	MED134_14326	MED134_03229	MED134_04969	MED134_08411	MED134_13541
MED134_03789	MED134_14341	MED134_03269	MED134_04974	MED134_08426	MED134_13971
MED134_03794	MED134_14441	MED134_03444	MED134_05039	MED134_08646	MED134_13981
MED134_03799	MED134_14527	MED134_03499	MED134_05069	MED134_08791	MED134_14231
MED134_03874	MED134_14612	MED134_03529	MED134_05104	MED134_08821	MED134_14532
MED134_03884	MED134_14637	MED134_03554	MED134_05109	MED134_08861	MED134_14607
MED134_03974	MED134_14767	MED134_03569	MED134_05449	MED134_09161	MED134_14787
MED134_03999	MED134_17085	MED134_03579	MED134_05544	MED134_09296	MED134_15862
MED134_04039		MED134_03664	MED134_06079	MED134_09336	MED134_16069
MED134_04049		MED134_03804	MED134_06129	MED134_09351	MED134_16155
MED134_04079		MED134_04004	MED134_06259	MED134_09401	
MED134_04139		MED134_04249	MED134_06269	MED134_09406	
MED134_04199		MED134_04294	MED134_06274	MED134_09431	
MED134_04204		MED134_04624	MED134_06479	MED134_09436	
MED134_04224		MED134_05359	MED134_06544	MED134_09481	
MED134_04254		MED134_05579	MED134_06604	MED134_09646	
MED134_04274		MED134_06049	MED134_06614	MED134_09971	
MED134_04279		MED134_06134	MED134_06619	MED134_09976	
MED134_04289		MED134_06174	MED134_06634	MED134_10046	
MED134_04329		MED134_06374	MED134_06649	MED134_10081	
MED134_04374		MED134_06424	MED134_07094	MED134_10221	
MED134_04379		MED134_06504	MED134_07149	MED134_10301	
MED134_04414		MED134_06509	MED134_07154	MED134_10326	
MED134_04419		MED134_06514	MED134_07304	MED134_11135	
MED134_04494		MED134_06529	MED134_07309	MED134_11466	
MED134_04574		MED134_06864	MED134_07314	MED134_11776	
MED134_04579		MED134_06919	MED134_07354	MED134_11851	
MED134_04749		MED134_06924	MED134_07436	MED134_12171	
MED134_04754		MED134_06994	MED134_07441	MED134_12226	
MED134_04759		MED134_07069	MED134_07461	MED134_12991	
MED134_04954		MED134_07079	MED134_07481	MED134_13066	
MED134_04959		MED134_07169	MED134_07536	MED134_13131	
MED134_05029		MED134_07199	MED134_07541	MED134_13211	
MED134_05144		MED134_07289	MED134_07551	MED134_13261	
MED134_05174		MED134_07626	MED134_07586	MED134_13276	
MED134_05209		MED134_07706	MED134_07591	MED134_13286	
MED134_05214		MED134_07816	MED134_07651	MED134_13371	
MED134_05219		MED134_09761	MED134_07661	MED134_13656	
MED134_05229		MED134_10635	MED134_07666	MED134_13666	
MED134_05244		MED134_10710	MED134_07756	MED134_13681	
MED134_05274		MED134_11075	MED134_08071	MED134_13686	
MED134_05279		MED134_11371	MED134_08076	MED134_13866	
MED134_05294		MED134_11401	MED134_08176	MED134_14036	
MED134_05329		MED134_11516	MED134_08201	MED134_14041	
MED134_05369		MED134_11771	MED134_08361	MED134_14161	
MED134_05484		MED134_11826	MED134_08366	MED134_14271	
MED134_05489		MED134_11831	MED134_08371	MED134_14291	
MED134_05559		MED134_11871	MED134_08376	MED134_14562	
MED134_05574		MED134_11876	MED134_08386	MED134_14602	
MED134_05589		MED134_11976	MED134_08396	MED134_15348	
MED134_05629		MED134_12621	MED134_08401	MED134_16471	
MED134_05634		MED134_12756	MED134_08406		
MED134_05679		MED134_12786	MED134_08681		
MED134_05684		MED134_13161	MED134_08751		
MED134_05844		MED134_13301	MED134_08771		
MED134_05849		MED134_13696	MED134_08871		
MED134_05859		MED134_14136	MED134_08881		
MED134_05874		MED134_14281	MED134_08891		
