	T_10	T_18	T_25	T_34
C0	-1.0392248529608672	-0.41221373585225113	0.13548436134376352	1.315954227469355
C1	-1.3265415357774764	-0.214466041367295	0.7115983790220848	0.8294091981226861
C2	-1.2886129242815096	-0.10490030168648812	1.119564549644884	0.2739486763231144
C3	-1.0055672684560557	0.429399940230537	1.1931985090033312	-0.6170311807778156
C4	0.611956965931839	0.2355534228416251	0.627645378015533	-1.4751557667889963
C5	1.0815556930752177	0.2941125963875908	-0.05636623497431721	-1.3193020544884915
C6	1.3500927201419686	0.1637274419917051	-0.8049581305449521	-0.7088620315887212
C7	0.5359742281552813	-0.3119704483641246	-1.2500522445417326	1.0260484647505763
C8	-0.30816949937970817	-0.6547163863587943	-0.5217528003952774	1.484638686133777
C9	-0.5716443578467565	-1.1167764642278328	0.8622467754330274	0.8261740466415626
