ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_00195	36.075093743134005	60.563624784093	32.531947972508	137.56793019249798	259.552977364952	134.180481290704	113.377736684066	170.260024730004	618.439244618524	446.15006779552306	337.75243307159	395.463423110601	14.283679981951	46.316705600627	59.620200657003004	88.139201521514	95.142933379677	32.611061884998996	127.347404971175	79.498264760591	124.555409291987	595.683061106426	549.803625412419	696.544836018909	626.529295165093
MED134_00200	81.73657603339501	148.592149179577	53.496981110346994	342.44588337204095	601.114550183977	331.24422444042	266.99876556998703	374.57205440601	1588.7592392673791	1398.577504831012	936.529574998064	966.6883676036921	31.533970421693	100.044084097356	119.599559149289	230.416339558116	209.188436304985	85.290469545384	258.232237858217	177.825065911848	302.087307601022	1317.6752907927842	1382.17564794915	1703.597610986007	1586.9696467444542
MED134_00210	373.869153337939	520.776750323686	424.361187996948	1290.190659591077	2195.632189631208	1429.929947484112	809.8962555622941	750.881456003143	2932.143440470131	2227.4556923231253	1899.387290658724	2758.103874002144	145.034289047508	525.23144151112	531.553596219065	975.473185378559	979.7831881152181	544.855587801691	648.528451242097	643.046819231229	871.8878650439151	2899.020970996177	2530.9116234124363	3712.574651418057	3557.80956139722
MED134_01135	1972.525580262716	3446.49278713201	1833.596978687554	4901.348827144169	10158.920443052983	5453.130186844026	5682.430249848204	6839.588422011045	19498.783300593765	17463.549146012207	6972.694624242615	10384.200996209054	744.948848289474	2364.004653856049	2910.25593929938	3264.121440616987	2834.755346193163	1396.2551573223818	6173.696070165113	4212.623509961719	6744.998933704764	16793.255066875383	19920.602614544467	19670.631309554086	15192.69817291302
MED134_01140	467.21030498101396	767.256618631043	407.974725314499	1241.550569987301	2483.930447876969	1249.694119479766	1365.176297001325	1534.0775697611639	3952.479929688514	3504.6803787137546	1414.9495024669538	2037.406524572662	201.729511129716	628.054527944514	674.8575724970419	855.313375064584	832.973231310816	415.665611872653	1367.5106751418589	961.3013857234639	1622.4555262319989	4016.631560841819	3994.7598645503404	4286.501487521991	2988.6314018758
MED134_01225	367.81459215027996	549.297992227823	321.704818839254	1078.925623938311	2154.205167185336	1061.487173774982	823.826625939858	1166.802373557868	666.690451144422	531.810880812263	311.925780802568	526.15788772835	139.320817054727	388.133992933262	564.596117065115	708.41470586206	638.9068506423349	378.03746354380695	667.6895191197051	543.67398828049	848.837026311307	628.1625615984091	585.163790279581	622.880790442612	605.3730984609821
MED134_01275	48.436489501271	82.394698834173	82.8962229818	130.689533682873	265.471123428648	169.607671070428	110.669053555096	165.742922033086	246.551896760382	199.875230372394	162.231495320949	203.928431860452	23.732883662319	76.422564241036	150.48713298364	112.567294827102	163.19218374394902	74.252879368922	86.077412619405	80.021279660331	156.907463653543	154.052075250166	153.01876654904498	236.843893371891	247.75690598066302
MED134_01380	200.052792575563	311.97309045759704	245.79694023673298	483.944325855754	1041.5937072104919	544.2502029910099	317.302880822303	632.0469081303639	449.56002177788	370.647748630126	244.726336063751	306.455986000238	63.507438688984	203.79350464276197	451.820556786205	276.961760586332	338.98608051832	160.04505755869198	277.688091395479	182.532200009515	377.305833991638	317.80289023057696	408.675887756755	443.382957867458	423.12393408220197
MED134_02025	66.600173064248	87.676410297902	358.574359874764	303.6320744963	534.324044607979	291.831475810476	239.91193428027802	216.820929452087	774.961451153755	527.143464718402	346.026991565549	568.596032848481	22.084766741324998	96.338747649306	738.0693515068771	273.660666896387	434.129013897997	169.07581315761502	175.987038814332	218.09721319188398	278.632068188895	560.271383486695	574.21152682515	803.311079290884	450.39758525497103
MED134_02810	23.965971367816	36.971980246103	28.676309694285	81.558130042695	167.39898865882898	98.310451638734	71.973580284083	93.121809444165	312.455983722584	287.183366716379	132.39293590334	158.485816289338	8.460333527771	27.326856304369997	62.134305503985	55.458373991065	47.886509515598995	25.587140863615	61.904988527654	47.071340976665	69.556916877343	331.787119609069	345.152759721058	310.041710811629	293.89270843179503
MED134_02920	24.218244750635	42.957919904996004	23.374807061728003	162.62494604898902	274.771067243027	170.936190687168	167.551399263484	167.48026922420797	108.859429357209	73.031334174528	52.405537128405	76.238437693686	10.438073832964	29.642691584401	37.71157270473	129.732982014813	115.30567422835	68.232375636307	125.87347667289801	109.310114045812	160.54706976921798	107.137241206191	93.56362208213599	115.15834973003301	95.33033213659199
