Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_02540	-1.326398865007571	-0.4581606203696048	0.18552051449854184	1.4033039584019205	-1.0782386552261412	-0.5979875173133037	0.3216647013360754	1.550296483680083
MED134_02545	-1.439654919879782	-0.7873292845240408	0.9075985078702599	0.5019358091092109	-0.6567976764641343	-0.8476887086180451	0.7215490082420305	1.6003872642645245
MED134_02550	-0.7408510660724745	-1.0364020158116793	0.32648039291659176	1.1949447524432524	-1.3281291388330263	-0.4291646466759162	0.34774020486835766	1.6653815171648865
MED134_02555	-1.5945848076889768	-0.6476117126268817	-0.026099914618016754	1.5888608566210927	-0.6977126446088292	0.3351699633754735	-0.30688077185115414	1.348859031397308
MED134_02560	1.1519917817564174	1.0817909494298488	-0.30530721606474226	-0.9928944086784662	0.7341558322063904	0.7843669122051706	-0.8678428086050104	-1.5862610422496084
MED134_02565	0.1477466751958471	-0.30838251272090017	-1.0684026389091166	2.0440487203354594	0.26908879225742766	-0.7955183827388866	-1.0973260300614138	0.8087453766415774
MED134_02570	0.9343243337848993	0.24765345347159592	-1.9155641204071945	0.504415002574205	1.0827602061436075	-0.09353784373777187	-1.2943360852389003	0.5342850534095547
MED134_02575	1.0209988063767674	0.2340224990989255	-1.871720446014162	0.7273572483764965	1.0168938183548786	-0.17643540043568817	-1.2980225786333788	0.3469060528761581
MED134_02580	0.9887681563819744	0.20364291169911952	-1.8867653194084486	0.7802742668540328	1.0237603263217412	-0.23477885156394482	-1.2517673824705997	0.3768658921861379
MED134_02585	1.2179709483577625	0.15111419777301913	-1.7701452380664957	0.49419246280254997	1.0616745366275966	-0.13441168894119052	-1.3617398540234604	0.34134463547020877
MED134_02590	1.8495600405017247	-0.5071196594765887	-0.2663221158214873	-0.9383341881909554	1.503977717718675	-0.17752658580322517	-0.7826238013826128	-0.6816114075455294
MED134_02595	-1.6548391404819678	-0.000465198475671105	1.110503018436707	0.7190005175852933	-1.6372813538356483	0.41268508195270515	0.29210811654604224	0.7582889582725328
MED134_02605	0.2544223634914551	0.6521944032016481	1.0848626724664174	-1.4697023039410086	0.46943882644481444	0.7548513047138233	0.090919448581594	-1.8369867149587542
MED134_02610	0.36945564859747865	0.6507470553470557	1.3933785747358942	-1.540122681582905	-0.09566449060617982	0.6732697109507988	0.17205156016242462	-1.6231153776045517
MED134_02615	-1.1045458015915715	-0.23396241755021027	-0.8597350485082166	1.8013208661092357	-0.9411404654760235	0.40357918200746	-0.3252502812309589	1.2597339662402882
MED134_02620	0.5121753883477136	-0.8147501105502333	-0.43402995116773896	1.728779959536097	-0.38305338104880143	-1.402436922147224	-0.4602447351706924	1.2535597522008735
MED134_02625	1.6611297433500805	0.14292236322983534	-0.6936513444559946	0.4209226204333431	1.0671279915945264	-1.4270813308998616	-1.177510996565774	0.006140953313836695
MED134_02630	-0.6600986614834488	-0.5767427422844743	-1.0970217814179675	2.0767849185311964	-0.5816507389090289	-0.012250918947042534	-0.28675792174892667	1.1377378462596879
