	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07179	506.04060203620054	457.5464994047826	443.11092240980435	382.555096660018	403.9739542391269	395.6271419331779	338.9664064588953	435.21979665124445	454.79076620127285	415.1056373917773	561.7690544781184	530.4964078057147	495.73229062758526	516.4099210863819	457.3396459788951	446.2591516485087	446.79310120448457	451.71171813856927	456.06160557836904	407.65030907913643	389.5986918911005	420.75260382866077	453.42817117435493	475.9795887586638	612.0231657762047	582.4458379037249	509.33784293463884	568.5361995260133
MED134_07174	1497.1460298583966	1475.956449692847	1480.9927555541972	1397.3770783493405	1402.9189292619585	1363.3283741181635	1397.3475287239075	1423.73163762568	1510.112066863772	1490.8412056948023	1727.8194162056723	1704.8431567089635	1484.9053512789303	1653.08341897578	1585.860342370503	1326.6067508096578	1450.793690692723	1502.9225372447777	1371.3519112182903	1463.9441981930165	1306.4542801414905	1491.930373754871	1457.7233332860644	1411.2204749352945	1962.747608948128	1742.0037606168182	1592.5296555756374	1683.3954630104977
MED134_07169	1415.8648968888513	1435.3676473262938	1651.11569897939	1446.98312385031	1387.0025070499105	1395.722931036037	1482.6817289513217	1326.939853196933	1364.3722986038185	1372.1342649841874	1914.0635712038231	1970.0913606118208	1678.1569222015482	1574.002194897976	1457.8676769429624	1377.3180180424429	1633.105818195702	1404.397615358731	1502.7863322703897	1456.750369209267	1488.267003024004	1343.2079768758365	1334.2365122002827	1406.303330423325	1965.8000935654654	2047.0944376140073	1848.3304389161449	1661.7826824582944
MED134_07154	1126.1369874328918	1184.4550508785098	1072.1701783308658	1030.796809901499	1010.3138480314375	1003.5420185622073	944.60218862846	940.4591820381781	964.3631474222445	895.8318817602299	768.2571393673727	792.9107633762766	708.8437067833577	673.619583409727	1194.0779152691289	973.6563308694735	1074.6144416900966	1005.288186023729	980.2157425451751	908.820394947016	1153.2121279976575	1006.2293814157458	973.4234568402641	967.6940399556305	740.9906408587217	806.463467866696	694.963190137485	740.8380889283003
MED134_07149	1359.4924982164248	1362.7997885497286	1266.0312068851551	1217.450065854299	1142.1927749312651	1190.327655258882	1207.715972662987	1058.5314297101245	1190.7249151451508	1071.31170715853	924.1353995288687	933.4696406581326	889.873834485573	910.8632556431387	1233.1000693628912	1322.549849431035	1229.9649165341846	1218.2022121334057	1322.261946728952	1278.103616112822	1549.3041314202765	1135.1848774437694	1121.0287976693626	1251.9049927474773	766.1736389517575	985.677571837073	1015.2801002497134	992.3868403553327
MED134_07144	12763.759848249867	12161.88114546906	12006.195945294223	10242.387225301845	9480.882164310016	10226.341297669966	10332.549410869402	9830.887551802007	9802.80824239289	9624.84723003954	8346.572294101918	8703.314998145892	8668.822444271904	9092.43519728292	12321.635376646409	12775.182441283217	11569.116767108077	11013.082370143675	11289.108285306225	11320.688877427077	10672.406833203546	9693.311664938588	9722.657678925849	9744.796993821486	9748.10962546788	9191.123332195044	9799.660098062452	10332.71016899917
MED134_07139	13004.981275127227	13581.259264590348	11054.034975116012	13757.690212412912	9950.037657131816	13806.284460040917	12186.1978713649	13345.59631971111	12060.224227355573	13236.192544328927	10763.69752309966	9661.722504128225	11890.70041325057	12092.757783078156	12844.532241502824	12166.647234489796	10136.297511521281	14545.78528963404	13159.277577625857	13665.877126129404	13290.510042711741	8992.057325224154	10171.262146151541	10192.257144410727	10670.723101058193	9238.06035942538	10581.77665243542	10790.781045702812
MED134_07129	4344.607655823753	3596.4138824182373	4151.5273325775715	4486.404386324959	4711.260974766253	5334.763203071075	5155.607930406274	5121.040509492561	5161.875196384447	4381.83446362226	6183.508385237523	6612.501698578284	5872.4034674035065	8309.245243162984	4537.496078022689	6109.693476205946	3317.5671652654833	6185.361197727396	5018.261208603651	6085.979320252049	4566.096668963698	5171.397775021616	5722.842364694198	5234.7920474429075	8312.678734164836	5136.404229865267	6960.95052010673	6132.626481687673
MED134_07109	1076.3195188386546	977.8211479215112	1329.332767229413	1069.4727097836108	1082.3167104192744	1102.104181099567	1149.6413086193302	807.2846701291222	975.7329165772763	900.993053095474	865.4280028446689	881.3268313438957	985.3538596449692	1018.5280546888235	1042.6719573853309	1330.6636521882806	1100.2922061271358	1102.1431939795036	1029.3057070345135	1225.3488702319926	1173.9907248985162	884.8041333309645	997.5419765835808	1050.302067756721	826.4602101441767	879.0025099499438	1017.5438239960896	955.7651844196549
MED134_07099	72.10423086008039	72.56785877656498	2187.860179398409	109.30145618857658	96.2564581395293	108.21160502353472	111.40853918579076	113.95344833455296	124.03384532761987	154.09782986657453	224.70762179124736	214.23893392153863	214.63909655832276	222.9518847494712	109.26203146253467	91.28028101901315	2421.41318641281	109.37936243281436	196.35985795735334	119.89714972915777	110.38629603581181	119.54268609897073	122.5220802960491	128.82918621360528	260.2243136280372	212.28337315538693	234.29540774993387	208.92354533796475
MED134_07094	5397.329426380927	4996.112582210287	4191.090807792732	4760.49880722862	4771.894964145484	4853.669570546061	4894.864540822509	4941.872738315945	4792.8745065347775	4242.482837570669	1971.758771393468	2069.8428219086218	1735.444937297186	2523.9296696638853	5667.5776605780475	5588.381649052916	4582.197063789671	5152.519431854179	4007.9580684682364	4898.997537933386	4815.439831774002	5464.136163815158	5329.2281224832695	4884.691358190667	2916.6490518661526	2335.117104709256	2683.6445013289526	3111.6400445019294
MED134_07089	94.39099312592342	97.16713293811243	126.60312068851552	238.78164275042883	203.88178928766442	219.86943950641768	209.77990889239325	294.49415262363385	350.39561305052615	280.9151826754301	562.7812509726735	470.98559282750955	569.0609499500016	789.8594549457762	257.5462170188317	312.3814061539561	193.86712149964703	575.2853489786954	459.22870006155216	569.5114612134995	685.6936977283369	563.8273147502636	639.6231435927602	580.2230524124208	1227.8619373240815	1170.2254289018063	989.2472771663874	998.9907455240614
MED134_07079	971.4406375876285	1035.6294422011476	1094.5894809527904	827.3279453043027	827.6539550265039	911.8723149435442	942.2317941776985	864.2613942963987	894.0773017365933	1031.4969568580755	1504.12399090898	1477.0017507924065	1352.760996458326	1328.1834501742	934.9708120865466	927.0019650153113	1155.4993996667704	890.8990818000987	1043.5576322088375	990.3504567628432	863.6104336919394	863.154670494143	985.9650871067888	1052.268925561509	1482.7444028717778	1576.657414691768	1332.2014247423776	1276.9551176260088
MED134_07074	1959.9240933785488	1890.4542193149216	1967.6235007006787	2154.0794673471783	2142.6535996885773	2220.7502636040053	2320.616167295514	2777.4436865156704	2466.206291264175	2516.4396810268845	3941.4931497978255	3883.505754577732	3544.2185339167886	3700.6201725083165	2203.9712632156993	1827.6340710695742	1905.2901212283193	2190.0921195516953	2250.2206303016055	2037.0525738983906	2277.8536852566344	2508.513846092575	2527.6208690995954	2597.2357312223785	4387.183516268579	4344.875270662768	4124.504665897387	3708.9932847642135
MED134_07069	545.3701825053353	611.2919629144542	503.77491773971803	539.7810374851243	548.7376038820411	627.2137616013796	542.8203292243847	667.2454926577439	573.656534640242	653.9941391945052	865.4280028446689	974.2770566431876	928.8296847506066	886.0908240043086	624.3544655001981	574.0515450751271	535.3813885122703	539.382199477848	601.7479518047925	504.76700035975426	616.8645954942425	611.8326453884329	557.6201764654833	671.6819403350565	970.690108313382	1126.4886535280832	985.8516915468232	974.9765449105022
MED134_07064	4223.996942385073	4384.820619295833	4263.623845687194	4537.691992690367	4294.40229778404	4682.047343470518	4528.638598179857	4827.232823425159	4382.529201575902	4454.828172506427	6758.435994144858	6955.9641164524965	6582.774854589415	6219.785913010888	4955.813569907822	4060.958280001429	4422.994924280027	4635.681070435003	4959.6699606647635	4560.887575697162	5198.545212133585	4436.257319562591	4685.746015731578	4813.884477218305	7077.1855852974095	7568.59564089181	6984.719619443681	6670.544575431398
MED134_07059	144.20846172016078	189.41441104391538	120.00920815265533	158.90750168954597	173.5647945980489	171.62222707554233	192.00195051168194	304.10468441088534	293.546767275367	263.21973809745026	325.9272712467642	346.2962662065082	291.7869568871149	314.41932464669014	162.3321610300515	119.6785906693728	127.10493396334475	161.1466942712456	205.8611414069027	187.03955357748615	257.1351366481263	226.84871929017282	269.16268033541496	284.21095279184675	413.61166564925554	505.6397933449919	378.04186564482086	318.188158129659
MED134_07054	1194.3082602460588	1043.0092244496118	1018.1000955368123	1271.2600135163677	1438.5413980222568	1348.1649644970314	1411.5698954284765	1890.5288958636077	1667.2216042787572	1877.1917456473625	2441.417944867066	2396.868919455521	2063.132383644234	2266.677494952957	1083.2549976428436	983.7985843160305	1107.9955354582476	1333.4262733221722	1328.5961356953183	1407.5925378203124	1020.7485727546833	1788.4338865200348	1817.5716478563504	1759.354306382747	2423.6727861661175	2373.5201269886225	2339.5584918797745	2125.8571093153255
MED134_07049	618.7853993810535	584.232761336752	505.0937002468901	745.7722433789802	782.936387859321	822.9595948923596	752.600238116778	1103.8382224214529	968.4976089331652	970.3002110258951	1097.2210000978025	1067.7940516089386	846.3349430128883	973.7471205724768	575.9669944239328	567.9661930071929	579.0335880552371	764.8205800645646	826.6116601107939	726.5767273586962	742.8348392056984	993.9927285079772	1001.4009397425115	962.7768954436609	1262.2023892691304	1181.9596857093904	1060.554575177237	986.3832902019428
MED134_07044	638.450189615621	612.5219266225315	456.2987474815247	770.9956563455748	842.0545275040713	815.3778900817935	860.4531856264265	1114.8216873211688	1002.6069163982606	1106.7025963144897	1251.074867270188	1257.661889872736	1164.092466743359	1178.5960745089567	693.0334567052198	580.1368971430613	622.6857875982041	828.2773094148996	787.0229790710049	805.7088461799402	761.0161114939497	1043.880621131957	987.8945686862542	1067.020359097418	1369.8024720302835	1285.4344957399057	1226.9382705358855	1135.8716890213486
MED134_07039	441.8022872699471	484.6057009824848	452.3423999600086	621.3367394104469	628.3197149422818	605.8471389534205	654.2288684101756	836.1162654908766	780.379610186275	866.3394741302635	959.5622768382996	936.303488990428	870.0139892524186	922.2966856302911	460.46141830639607	411.77548993021486	455.78031875744836	629.5575517125346	701.5114280250607	631.8579790726615	576.6060639988287	799.1475629765839	796.8758923191855	790.6768375247225	1060.7384045248436	1084.885379392103	940.5772166192997	907.7367831925366
MED134_07034	414.27158094155277	430.4872978270804	356.0712769364499	527.169331001827	537.3687308734352	554.1536970631969	568.8946681827613	847.7861969468248	684.2533800573697	792.6084550553475	809.7571956441346	782.7089093800129	710.371387185908	828.9236740685467	418.3174918851327	391.4909830371008	405.7086781052216	516.8383614191763	584.3289321472853	534.7412877920436	485.699702557572	703.1369017002452	758.2862607298787	687.4168027733594	859.2744197805567	927.0062877991519	807.0175155831056	804.4757205542321
MED134_07029	1215.284036496264	1273.0124378600806	1110.414871038855	1517.6086801567749	1536.3137058962668	1699.6803693505517	1677.0540739137653	2204.2441120617445	1799.5243726282183	1833.690444393162	1854.3439780250683	1980.2932146080846	1742.3194991086625	2064.686898513265	1180.0299397953743	1093.3349215388464	1294.159327626783	1603.117373061096	1570.8788636588267	1507.1071720955133	1532.4215214383287	1867.5014899240784	1899.5746149836273	1899.0012105226856	2258.075495675548	2121.7669809349977	2125.6365978472263	2103.043618732444
MED134_07024	2650.8137236196826	2549.714766844393	2343.4765152447094	3334.5351941838057	3309.099970371535	3553.062572588035	3164.47659176661	4449.676217497424	3809.9062823133904	3581.1155964686723	4159.115396127187	4362.426122735669	4051.4084275635014	3936.9110589094657	2405.325578339513	2259.694067892903	2425.264851078366	3364.041612532894	3225.685731122006	2890.720279969994	3321.9781795247836	4017.387277719741	3976.661535278066	3667.206377026978	4060.567662213448	4209.397942066114	4415.3931673067245	4206.687592480227
MED134_07019	921.6231689933911	876.9641238591666	792.588286810394	1172.8887029466487	1189.1841167001692	1222.7222121767554	1251.568270002075	1571.321947215613	1345.7672218046757	1401.626672614154	1505.1361874035354	1513.8417791122479	1527.6804025503397	1489.204255826596	924.0446089402931	862.0915429573464	820.404573763407	1183.1340195976943	1371.3519112182903	1107.8496634974179	1299.960968609972	1302.7328941809094	1361.2492543127973	1352.2147407916584	1717.0225972524447	1616.1271875900059	1778.1550027784835	1562.7241049273628
MED134_07014	1971.722967519289	1931.0430216814748	1873.9899426914642	2619.031046364739	2651.221185606878	2845.896287529776	2743.731576756443	3321.8116656078423	2796.963212137828	3079.007356568494	2909.052725351554	2937.00041159104	2959.8807799412834	2907.9023600657524	2119.6834103731726	1778.9512545261007	1948.9423207712862	2763.707554600119	2858.3027710727642	2449.498768966693	2464.8610573643628	2820.0778547442233	2611.553317806338	2698.5289081689534	3257.7642078536383	3035.972261307694	3202.0372392490963	2836.6774474766767
MED134_07009	420.82651101974193	391.1284591686045	276.9443265061277	509.51294192521084	468.3975679545599	553.4644511713273	469.3381012507781	648.7108956394732	541.6144579306068	570.6780876398501	465.61038749537744	453.41573316727755	554.5479861257734	456.38441365383204	377.7344516276198	288.03999788221927	349.21759634373507	497.6343512210486	551.0744400738625	448.4153399870501	507.7769617647343	472.52305843845124	530.6074343529685	466.14529973472446	484.5819330023566	605.9143515188933	535.3706660179648	512.1028280841492
MED134_06994	32.77465039094563	43.04872978270804	27.69443265061277	47.92448463652973	52.296815839586785	34.4622945934824	32.00032508528032	37.75566059277357	48.57992275331778	43.50130125420046	98.18305997185132	109.9533152930648	97.00770556194658	96.23136905853244	40.58304025751288	38.540563096916664	29.529429102595245	35.90314950084746	36.42158655660586	28.775315934997867	32.46655765759171	37.65123971621126	37.62489079957413	46.221158412514875	119.81002123050392	106.6750618871291	122.24108230431332	106.26283771499932
