ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3_T1	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2_T1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4_T1	L_34_R4_T2	L_34_R4_T3	L_34_R4
MED134_04934	309.307226463238	298.540836099609	254.23838065081	289.96131896399	272.977991249808	317.781691174505	311.856537390458	290.154057327745	179.758268132154	189.396728081275	214.77899647638802	219.015939848186	235.724871780775	232.512373916105	234.676683425709	192.275500953062	317.435862695004	299.16636114103903	269.495876315528	272.654041130579	294.433625556226	284.698627939648	313.94495771358504	155.30077655204	166.32707706503	178.96212441217	181.536767617495	210.406513513665	200.76743487516103	196.11052220727402	194.950149764635	195.699474997116	214.363514969091
MED134_04904	140.439046172215	166.61464166477398	135.327864028845	225.65210604325	217.83018991484298	226.195183551107	235.525046044828	214.14944633402	282.473072834591	262.268138632892	285.34366515747996	211.99081498399897	207.97165354104098	212.29551088891998	310.995687132206	302.41019193517997	150.713588434288	138.80255050002899	160.18261129427	213.87821168991402	217.12819685924998	187.139731217897	195.72573294291	248.95487663054402	247.57448755642102	255.732364752438	229.55592867465302	216.77945871432	339.18262077782003	369.48266242352304	367.728092877413	365.954578039305	344.510418010791
MED134_04874	237.790687298676	236.14793740162497	206.80440658926898	348.998340071204	322.932511578716	301.27700636812597	307.038406715959	297.250490180591	388.019209098139	343.584804271604	378.75971300368303	114.518161778946	108.69085900211701	114.586639517365	213.290711596892	205.47822962100201	248.56608782589902	219.733443957708	222.534553448524	307.653706549933	285.991328787235	280.774802308106	315.810641228627	351.178706129733	336.34601853258704	318.204442392925	115.886409690284	120.110231724196	224.27098440631	268.147043421548	266.213752947197	274.396665985583	243.39346368616
MED134_04859	31.6546542760711	31.2608525569576	60.9343167682625	36.5413766881067	34.2526720672608	44.931233058477794	42.15955475062879	40.55315013455311	36.8799827106813	44.28267299128329	45.2770544879895	34.5965394005869	37.261587926103104	39.171315400523	32.0546865538514	35.9982724504642	29.8847276140792	31.5317492079312	71.5872288115685	40.3192586504911	43.6257757887589	34.9327498273407	44.7491673703358	38.8172136253404	36.037533364089704	43.035189299409105	41.4948010061917	41.9083065970691	43.981868216554204	38.075755859598	43.128246298132495	39.8622650724346	44.5113929749154
MED134_04854	244.80818498694697	246.863664544748	208.313120245439	202.18666145441398	200.666905631754	185.29267623009997	200.97585675756	190.847500351283	208.351016683927	201.02930403013	211.58920440521	171.424938082469	152.52540951160802	165.35877183420098	155.946197394627	145.602945042831	247.45793002634102	202.248680253077	236.584979160649	196.910636635858	209.476650605634	189.478977858121	183.64559281470198	200.51918286183	193.017771553202	201.267514934822	165.189392762212	195.38781207940102	157.189157122937	169.345530563236	167.280514134301	168.162349077696	146.986119969983
MED134_04849	121.86197060732901	122.227598986558	139.665895922456	117.43517655612	113.912591875199	124.731922281658	122.109154099136	124.010868197443	140.025548603326	126.629416254953	132.105821593505	114.954859796123	118.149533263767	115.263962608278	123.241227824922	114.86754715624	115.236653030512	115.727698380879	133.666020789838	120.913930949941	136.02893308027	130.031751293143	126.729379605578	123.763862118958	128.611372001283	139.24857162805299	113.517902677131	117.68455580355801	118.294209599352	100.657746666479	93.80173377980489	102.132399780203	124.05682435615401
MED134_04844	444.33957235869497	459.594878479927	426.25713473407995	385.015710199128	378.19834317539903	447.61976833575795	415.919531124979	398.966980775298	411.034854327432	375.943447888984	448.49863075943705	480.910787525419	553.375662471543	519.181939532422	500.492413926286	387.21428355763	427.52217731958297	386.23226941441806	451.917206955478	367.10944355294504	374.703693592267	351.73250686737197	397.661959279964	407.451644652285	381.11983075811094	401.73411510936205	372.327529526175	402.780440993172	428.592232176686	435.54766674872	445.272162892675	443.025895275128	444.91190576717497
MED134_04839	1130.97661233868	1080.3462152008801	863.959281192504	1171.4049571592402	1216.6124083957002	1234.0858266054902	1144.6128070751	1273.8423891168	1366.22266318026	1521.11381770462	1474.0553999859399	1556.37005504552	1707.75634062409	1633.4691667924699	1477.26253593055	1529.4854984023498	1155.4152082596302	1106.49427985735	927.4359196550281	1164.8676258067699	1319.9116200907902	1283.61135227121	1352.7913018680802	1478.9891961201402	1466.6081073011599	1519.0542524090197	1635.5854135694199	1608.51823632879	1554.56662804811	1703.5291434300302	1821.8634416265	1718.92022407077	1571.27228731709
MED134_04829	412.834280813534	362.936978499422	383.880733796145	449.86550627356695	431.654952586298	454.135003184972	468.28780050083196	506.914376681913	452.813531948015	501.077232549067	426.20629044734704	256.409097113252	263.23770570436403	282.555717611766	278.696621224666	320.035082945489	408.389780040885	403.62154935633	371.268831336504	492.90227990873	470.110992855879	512.954801722902	474.29841005575105	439.823446651305	455.109108066113	447.962446754807	309.936339782824	285.499021815127	305.723322739269	326.967900233918	339.836970337356	329.010576815609	329.277016326881
MED134_04824	818.582660181467	820.950164068802	593.544015736051	855.6012822039501	890.204528993117	773.732750896268	797.491372040845	735.418286474549	1108.79924357905	954.4397915831121	1126.85695430761	819.819309498481	798.5741934686861	820.129115972807	796.279118361546	741.884771812845	783.294187383614	657.954158406235	732.046722767805	746.08797660858	793.638555085681	710.6358999739931	724.575694274281	1007.0140241097699	929.987718275124	917.593337324057	775.172057975763	792.166558977695	791.431969281401	759.910274105779	757.9477717351899	777.4676164683569	796.963473641702
MED134_04819	311.940706821071	295.403903045386	343.22295608073	368.76389309631503	352.045846195945	403.685823760419	365.62050091938596	418.871917774393	456.117822392163	478.364637583584	399.059793675995	477.86386270086194	549.509429402519	478.511318791987	517.3193487300799	562.32462523902	311.060702496482	309.147486418756	317.42416254648	409.486334019758	424.07419442646795	443.829477486123	452.74570118178804	443.909137498841	479.19050406027606	513.702295269611	471.107250539373	465.883980820472	548.558115410935	486.362827299366	510.535223272765	491.590704408664	460.243668307585
MED134_04814	298.620475726008	282.921358022956	299.30671704117196	356.67633748717003	360.81508838559404	380.832321984553	354.79568292466104	360.93454748453104	455.987390359984	414.70290582120003	472.311931037823	470.03419884700503	530.344659145353	487.28852083074304	468.64601037087306	419.612845495501	325.841428240348	289.697345563272	289.10465021118597	340.277072448502	323.36719718821604	337.011123638882	319.30032664897203	450.52461343043603	416.70429755098	444.535487887237	400.228626110305	408.106204863177	430.702381368647	479.33538916884004	482.21298181789297	476.565357011363	437.10046190883105
MED134_04804	127.50714935841499	118.005787724575	120.649795321008	114.639613139158	107.557116407822	134.199533302795	117.97543799275	129.79276443732098	107.88102359422399	105.906483692767	94.44434703235929	96.2761705890425	120.55219623151001	102.79676026284099	102.30689251677299	95.68007564280799	132.343797087751	124.274948186896	128.22725669480698	117.48687267220801	109.452881294465	115.953245225207	125.206022471359	104.282610899879	103.69019623675501	108.094923722866	90.0304723208416	94.96235371260141	101.73501992493401	96.32824575646059	102.006759013965	96.6193066325082	99.55994361897801
MED134_04794	10.189266397877	11.3717542048699	11.0536809806397	15.1228873479289	14.4489930085599	20.5544284045004	16.547313512610902	14.9755899480531	12.043286013004698	11.755941681682199	14.098610790128	28.2785042600158	31.2298514078199	25.6410146210425	21.3454290155408	21.807157236227102	11.174221861162401	10.995513404053199	9.96458352556341	14.298129477060002	17.4435815544846	17.5895283848581	16.7902165677687	10.7377284203681	13.549932760424	14.532627054895801	18.2960425544529	23.4528518783565	21.5988870822464	16.341526119999198	17.3709014472505	18.977884414866	19.087246311411
MED134_04789	30.2122623940333	32.6093049201695	46.6589573076674	45.5079645022758	47.477649786191904	64.4813037911528	49.66760123940661	49.1418474961893	35.39696348730789	43.241723204028204	40.848689455914204	83.3580896541651	120.003162156285	92.2802757220086	78.4312205348478	81.0418993973847	24.7868365137674	26.454438605792	37.1112730908061	47.16628646558951	50.2425084851682	60.9817400003147	71.6216245792674	39.802806940046295	47.131315739212596	53.2044240870803	63.6957562793113	81.1991150048859	108.45992866731501	71.0026058091935	60.4882234221156	62.0404342315664	72.53864230678221
MED134_04779	65.88621888059559	60.813511127874406	53.895335301861294	61.6202826952701	64.8017369539546	77.1285121303114	72.99116367359909	71.0145103315183	84.9553964631264	84.57299109347649	108.65126235377899	153.19419604765199	173.44146349189998	166.755513730038	160.297746093403	153.66443850413	66.3811984366867	58.311140467741396	60.3917451139314	67.4876516513846	78.0095315700842	82.8502111022922	68.33383634862021	83.6662485224582	84.3298017481811	96.0871992084347	155.61321721692698	165.177339520938	164.9867504825	102.67672357234899	94.29271175338529	109.470016066457	162.574029734488
MED134_15519	14677.961714916299	11995.0380345961	7641.8586512661095	8761.12891076061	11207.138211749	8976.52649637734	8618.60376095667	9309.3172689032	2850.8338505880497	4471.39804931464	2819.9381389587	2333.70698883238	2028.21412120803	2058.5845096704	1798.1840516655398	2089.9035183975197	12613.6085174506	8891.87470915517	10761.9317329673	8775.6368293528	10142.7550850446	12990.5438072628	8155.598002406479	4018.5407564896295	4113.40757987051	3477.64982936004	2011.6035916008602	2046.6847407870998	1733.4088267369598	1429.52926512681	1345.53956250345	1504.6187087986902	1731.92426233632
MED134_04769	3386.41431450802	2807.63147278185	1798.3176650588	2067.30176572374	2595.91274147043	2091.55764979686	2056.95329767008	2166.53561450462	799.687397425452	1104.6820062643199	818.260802238754	671.082742020441	584.055191204422	620.805139235009	579.496105796305	601.850246278497	2901.96789631063	2061.91755548132	2495.5902839434198	2044.4582345369001	2317.364990738	2915.6556332436103	1903.2020432503198	1034.55237029291	1032.99320664765	890.6951420235221	575.755779335724	603.931771734664	535.255801487342	410.16762046240405	371.2858402129701	420.657516170142	556.506170602346
MED134_15521	63.42973161051889	56.52097370048101	89.62184144372542	75.21109802392691	67.2961145515591	81.10304897319571	82.4126953439047	77.6447970367622	52.8182083890975	63.8801232924653	56.828840538097	106.79233267476201	116.148314773554	117.82016084490299	139.949503148982	148.82634925158	57.6601358193845	68.13420326438289	67.3178988824443	76.6152042485738	80.45333296529091	82.3311710068819	82.0200983845075	51.2742442806316	57.2751642785915	63.8492702196692	100.722275440911	112.08259225341001	139.452999192666	150.470971030804	149.45002068027398	138.014733514634	143.31844626142902
