	T_10	T_18	T_25	T_34
C0	-1.416050891980991	0.15180925165431078	0.33835189748426436	0.9258897428424155
C1	-1.4533635181511484	0.5719041948637503	0.14732311204108525	0.7341362112463142
C2	-1.4470035295238912	0.7044273729733904	0.6303760822551254	0.11220007429537686
C3	-1.2423118356184315	0.9876634983610088	0.6010114226548644	-0.3463630853974401
C4	-1.007400192895457	0.8110255404201838	0.9069211891594731	-0.7105465366841999
C5	-0.4801447784308768	1.104148062136813	0.511292958999971	-1.1352962427059023
C6	0.12307961758204022	1.0436238542236542	0.19610389563415537	-1.362807367439849
C7	-1.281230014920053	1.1624888127409516	0.06250688652172201	0.05623431565737945
C8	-1.2099496899995388	-0.06016959435072319	0.032647877122986856	1.2374714072272752
C9	-1.1472959427017668	-0.30491365161313927	0.20828082513130505	1.2439287691836003
