Genes	T_10	T_18	T_25	T_34
MED134_00010	1.045226993912268	0.8750518421866196	-1.346176592747847	-0.5741022433510639
MED134_00015	0.9149375934893988	0.6611038193263936	-1.6493794216469888	0.07333800883121694
MED134_00025	-1.2066298222838268	-0.7676926617001995	0.9336924952117436	1.0406299887722976
MED134_00030	-1.4421813341003833	-0.34393437668425175	0.5715633158186516	1.2145523949659982
MED134_00035	-1.1042137019275768	-0.5561622506891053	0.0909412315167475	1.5694347210999389
MED134_00040	1.3801977843631807	-0.09389813067595801	-1.43654563523832	0.1502459815511215
MED134_00045	-1.139400067910586	-0.2654045350258656	-0.20440250989344072	1.6092071128298924
MED134_00050	-0.1407944696112172	1.0158372678388226	0.6950424209933918	-1.5700852192210133
MED134_00055	-1.2325710798899676	-0.7048826233756104	1.20007679666548	0.7373769066000899
MED134_00060	-1.5051333632947759	-0.09789105588434596	0.3323921526571573	1.2706322665219647
MED134_00075	1.042451470679101	0.6077987808241986	-1.5939595120190193	-0.056290739484277506
MED134_00080	1.2079788082372085	0.5101203671534803	-0.22476573104047706	-1.4933334443502067
MED134_00085	0.8665049267081695	0.4534533375353064	0.3822311089035861	-1.702189373147094
MED134_00090	0.4316059802772417	0.5402493042215569	0.7488993942364495	-1.7207546787352708
MED134_00105	-0.8799720569819398	-0.6924168706932472	-0.08271421553342712	1.655103143208614
MED134_00110	0.19013761415946936	-0.6078218845570514	-1.1153878617176174	1.5330721321152052
MED134_00115	-1.3996475898778087	-0.4783214105164004	1.0952078485961905	0.7827611517980096
MED134_00120	-1.51462710955631	-0.07865548945490888	1.2605611809613038	0.3327214180499205
MED134_00125	-1.4482118434831854	-0.4123599236530439	0.9004689468737258	0.9601028202625035
MED134_00130	-1.4271045075618605	-0.4494317992053226	0.9197003445201128	0.9568359622470676
MED134_00135	0.08833608673110017	0.02083462991755765	-1.4662870851934267	1.35711636854479
MED134_00140	1.2241045839768958	0.7252167680885641	-0.7801076755922505	-1.169213676473203
MED134_00145	1.2797682563445696	-0.4115602298981159	0.518765022538234	-1.386973048984693
MED134_00150	1.4037670669022924	0.4306269951135447	-0.6330336751889954	-1.201360386826837
MED134_00155	1.1846865840239733	0.4143881298449978	-0.04247718587487318	-1.5565975279940947
MED134_00160	-0.32728683272219455	-1.0630564836869214	-0.25252739024809345	1.6428707066572095
MED134_00165	-0.04068340373600274	0.25042952987547745	1.293989545000014	-1.5037356711395315
MED134_00170	-1.2519684164227383	-0.7076476214969317	1.0564970665277675	0.9031189713918636
MED134_00175	-1.1660948248148952	-0.6818799067835807	1.4075974090941972	0.4403773225042786
MED134_00185	-0.5089593756106577	-0.7219275421707754	-0.49411493877263846	1.7250018565540688
MED134_00190	-0.779773380499992	-0.6618234936046767	-0.2576805777104556	1.69927745181513
MED134_00195	-0.6247545327211943	-0.7176706347198363	-0.37606435406041305	1.7184895215014473
MED134_00200	-0.7553541788767768	-0.6665864888755573	-0.2825448612763777	1.7044855290287038
MED134_00205	-0.6810353686297164	-0.4159726809847051	-0.6265372989108903	1.723545348525309
MED134_00210	-0.7359383664523585	-0.4578889938884956	-0.529168134554859	1.7229954948957196
MED134_00215	-1.2606388290129262	-0.4346281678396974	0.22116601994223747	1.4741009769103797
MED134_00220	-0.9725529815523359	-0.7001048231000756	0.07307865862712107	1.5995791460252708
MED134_00225	-0.5050296392469344	-1.371374763936872	1.1660503727227696	0.7103540304610716
MED134_00235	0.38920129205598125	0.5928591282280143	-1.7187962859468588	0.736735865662828
MED134_00240	0.6025397260000476	0.9530808618785402	-1.6491899593540835	0.0935693714755169
MED134_00245	0.3390278882832008	1.0428888665813767	-1.650801058354302	0.26888430348973885
MED134_00250	0.2146262832533654	0.7731934156859169	-1.691451836556216	0.7036321376169471
MED134_00255	0.36548012929839563	0.6260176286280046	-1.7170171340465201	0.7255193761200814
MED134_00265	-1.1386007607304718	-0.8208691617222907	1.2142567496585441	0.745213172794203
MED134_00290	-1.425395925628502	-0.09546876948353505	0.12694301898139645	1.3939216761306406
MED134_00325	1.5584727128903648	-1.2284061684065606	-0.22711840211658818	-0.10294814236724854
MED134_00330	0.24194685638131366	-1.6169524917001723	0.25069272752159233	1.1243129077972862
MED134_00345	-1.1073128122881921	-0.2554554835137298	1.6247907722320951	-0.2620224764301975
MED134_00350	-1.5354473308390175	-0.2228512383127488	1.032335267389648	0.7259633017621184
MED134_00355	-0.9956109802936158	-0.6696000907491275	0.06646894886533632	1.5987421221773956
MED134_00360	-0.8394104585895767	-0.7715496701189892	-0.03192811580798252	1.6428882445165485
MED134_00365	-0.44124732173228265	-1.3105758230597986	0.34996022114734754	1.4018629236447187
MED134_00375	0.42865810388314773	0.46186632892205287	0.8209160572760783	-1.711440490081285
MED134_00380	1.135453924320694	0.7217827188411989	-0.4463786932967735	-1.4108579498651193
MED134_00385	1.3668225616371437	0.542388822923863	-1.0413996848671603	-0.8678116996938463
MED134_00390	1.402868268495342	0.4455341552622946	-1.1743653356726098	-0.6740370880850355
