index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07204	4055.472016939191	4140.74903854689	4638.479194956599	3854.9343257137853	3845.9579292661133	4038.73475233347	3323.961698402133	3834.279434022279	3783.6715565370746	4063.820412663779	4140.749038546885	4613.928097302738	4580.100223605505	4840.2482953198	4660.1029882750345	4235.457820461505	3900.270844695409	4065.658504354487	3986.0898331917865	3803.9346378671034	3686.0022191375374	4057.7645632449994	4253.456322952911	4221.317974532551	4855.0744748398465	4423.531461691081
MED134_07199	272.7597649188104	294.3543223339784	253.63570748259673	268.9291772119872	297.66765509043336	267.4184405919886	363.8615287033194	334.86248379581605	449.8900362033309	667.598956131772	616.1228260713547	668.3656554926017	508.48074573086865	217.20079150305028	222.10552636085777	312.9712343669265	259.6246855773041	272.4843461731528	225.7262000465398	360.0627441937143	341.620005565143	326.20275417073077	737.2557727295517	803.1107312900773	719.5973079326164	720.0959328193472
MED134_07194	1226.7536744153326	1204.6265124088025	1351.8384828130024	1526.194289603675	1418.70393968551	1648.6824395425724	1750.6937552468282	1780.386870367817	1577.2092208248569	2176.4729878100475	2158.952687170871	2003.5762255096763	2543.347106661265	1319.0588213907872	1384.0464744523822	1228.6060853247116	1719.592073304222	1718.9320868720476	1385.6718176267357	1722.410963649615	1811.944745426483	1785.2187091889084	3188.031822118133	2709.580127398287	2690.76416677871	2398.3360407123714
MED134_07189	2049.0245754876487	2101.294090947182	2144.616060651276	2218.4536227424182	2272.6810684282445	2216.946625800548	2873.4664723884994	2610.263460644405	2848.315336292258	2537.8799415054427	2716.210275082542	2314.5677534920133	2358.4450173045857	1820.0475083613264	1848.8228536889922	2144.2409362824965	2186.579332427035	2111.4535899496727	1975.4304443379262	2641.093479837799	2254.4979344540548	2522.6346322536515	2912.310151016024	3197.745473868726	2717.2524112424876	2556.043001205865
MED134_07184	5887.619315930419	5773.302422920216	6012.892583671193	6594.2791623620715	6689.487508484752	6533.844309642649	6831.586835102132	7036.271942119539	7122.641265097216	5717.257225820213	6017.70920386708	5488.35415397679	5916.866859413744	5767.711529110197	5606.10800796017	5942.573644281105	6294.2127506679535	6267.139961982514	6141.57932727782	6464.028790221721	6117.133224650843	6500.3312467476535	6688.498255240557	7250.042758548071	6563.566242753482	5958.942624231508
MED134_07179	513.5866793105406	460.08322650520995	446.186375466767	386.0024467869217	407.8582523475603	341.43604468441396	439.4061127579133	457.5760648141586	417.2785673516891	557.1690536137345	524.7415515948935	493.4804441577912	511.31087975163416	464.5243205138229	452.43718332767327	450.05780809789434	456.02907434195293	408.1263334752068	391.43271684371064	424.66503075089787	456.1403483398216	478.4307061170718	600.8934245214435	573.2006003717415	496.6545836958243	563.5792135371255
MED134_07174	1519.471470913568	1484.139440339387	1491.271725146367	1409.969377054646	1416.4083022426532	1407.5283100801541	1437.4263057727321	1519.3605243033767	1498.6452276822654	1713.6713054389995	1686.3489179459825	1478.1602210211804	1636.7608420093823	1610.773753044519	1344.9723540740831	1461.394606754657	1517.287123503725	1465.6536858036104	1312.604377149243	1505.8032969578817	1466.4426943435542	1418.4877340454505	1927.054723028869	1714.3527113682305	1552.8733316889438	1668.718178202851
MED134_07169	1436.9782737186108	1443.325605730054	1662.575422870215	1460.02244158306	1400.3388401426555	1493.4842374132934	1339.7034952066979	1372.7281944424758	1379.3168984751217	1898.3904151055349	1948.7196937434294	1670.533953489472	1558.46046743487	1480.7703595901385	1396.3856703613187	1645.0388847716138	1417.8205231851475	1458.451456389342	1495.2729783429745	1355.6979840750141	1342.2172377744114	1413.5452680731667	1930.0516977147613	2014.6006448962855	1802.3043003895134	1647.2938363999613
MED134_07164	1495.521833018258	1648.631561643669	1843.1746700829542	1512.62057718919	1613.8331223283392	1566.3080091816473	1633.5649964832835	1630.6347037013652	1532.7390360271636	1773.9057977215655	1861.2627684776137	1471.316886664601	1478.2733368465142	1469.6725089293986	1421.064062179192	1568.7359805251317	1574.6068592805325	1543.6778377915175	1627.0553263470238	1642.6081390789764	1545.054116078715	1712.0702127991083	1629.6049854540397	1735.3490703562063	1805.6153309474855	1470.5430165261216
MED134_07159	1579.3455656518436	1646.15799590977	1998.5431401115607	1722.1647625878047	1624.546097061671	1807.4621386440656	1663.3669883580314	1912.4599618028128	1578.6915603181135	1856.226270507739	1944.2347232169773	1828.6910141748658	1871.661965732919	1585.4072372485423	1645.226121191539	1685.1302412401044	1792.0846803160664	2140.2625076067466	2182.889784265093	1637.8579709497717	1711.9820733435008	1953.2625522465576	1846.885650181245	1943.2130243371676	1733.8763355247554	1678.2401078930243
MED134_07154	1142.929941781747	1191.021900872358	1079.6116763526238	1040.0857137599253	1020.028237109377	951.4843622848879	949.505322521043	970.2692465263863	900.52124215329	761.9663273744585	784.3092208133078	705.6238092117569	666.9682508937368	1212.8365364951349	987.1356727149234	1082.466624649246	1014.896498165825	909.8816493359022	1158.6408418573835	1015.5859460239594	979.2459818614469	972.6773033454518	727.5156050004011	793.6623697454881	677.6575875316357	734.3788273546071
MED134_07149	1379.7652498575922	1370.355416580034	1274.8182156193343	1228.420973510907	1153.1752087950722	1216.5151382287338	1068.7132900200352	1198.0173333316152	1076.919641850807	916.568190899711	923.3433071333222	885.8316139350181	901.8693746172735	1252.4717174263485	1340.8592887711043	1238.9522418327092	1229.8455073288528	1279.5960926016778	1556.597437315156	1145.7405527641674	1127.7342229167505	1258.3518365434554	752.2406461590141	970.0317852444856	989.9981368336764	983.7343611160173
MED134_07144	12954.093030485552	12229.308988396548	12089.526078123354	10334.685289578638	9572.042924231955	10407.83020125427	9925.449433448071	9862.844087948819	9675.229872484813	8278.227056033973	8608.900925524771	8629.4446236468	9002.656320055064	12515.204730839992	12952.042639080391	11653.652036695765	11118.342866118965	11333.908354920302	10722.646890072047	9783.446278909947	9780.813682061113	9794.979063872035	9570.838659397656	9045.231452020009	9555.634190307659	10242.62074359817
MED134_07139	13198.911551193167	13656.55641685626	11130.756545126313	13881.666014888791	10045.70944994141	12274.983956101903	13473.965675278538	12134.085282390006	13305.479291469846	10675.559848880095	9556.911570553579	11836.68732543041	11973.35366385192	13046.316155318254	12335.082843633565	10210.363203830104	14684.810543643553	13681.835143971786	13353.074747261782	9075.671227658451	10232.101473503702	10244.743467349861	10476.67425820866	9091.423441793555	10318.274895493914	10696.697765698304
MED134_07134	12338.055122400629	12839.042941802647	10831.97102584053	11192.37424276892	11156.797972284108	10284.865471874919	12305.45036595702	11352.046189798535	11001.92371894933	11387.330766019082	11611.588692984438	12705.79078871601	11700.71741985151	12745.08878024103	11880.589127654403	11146.690367803883	10594.878808510179	9425.317560139189	10421.24369810239	12645.897593568685	11772.303032685184	11124.502410416377	11606.533714790128	11683.423958859177	12898.671377006885	12394.57685357731
MED134_07129	4409.39444361433	3616.3531029603064	4180.3413987184	4526.833090230801	4756.560781599315	5193.1706097104925	5170.299055479548	5193.4883356407	4404.771804211525	6132.875222569917	6540.7688915145545	5845.728281487055	8227.199598365316	4608.778838681513	6194.276346286145	3341.8085520832155	6244.479450508665	6093.086084471029	4587.591441408288	5219.484740370096	5757.073502876217	5261.749274093333	8161.511313356714	5054.873426355192	6787.612643842932	6079.156986569944
MED134_07124	7965.915671067892	8470.725855737051	8676.731480059094	14568.835205872103	12899.952003893382	13598.944003497061	15759.709145113866	12872.44665970376	14943.464431518218	11444.55353368752	11318.94436613344	11154.63500122465	9813.018028000919	9043.162881265685	8392.709750728338	8300.204058541052	12701.37909830785	11288.294235296602	12605.438258090295	12370.387842074813	11933.407921673292	11729.460245423914	11853.784126376258	13061.834926419793	11211.14946929374	10593.741900923307
MED134_07114	268.7681586029254	279.51292793058457	232.38873722227447	338.49445333622367	363.4759284523286	364.11885884177013	372.8714332235921	450.2964456012061	487.68969328137024	348.35614703417275	315.6298007990652	297.30485926917777	280.18326805578477	280.617080992992	261.17964673915685	253.4808344459405	386.06527920261453	445.3378521155933	378.3849596155869	373.3632149554874	400.8211997113752	463.6033082002204	246.50116791465703	350.6391950991972	290.26701224889285	290.4188555502822
MED134_07109	1092.36959511387	983.2423792248438	1338.559126400301	1079.1101369515702	1092.7234227998426	1158.0173543492363	815.0498242954354	981.7086481467403	905.7094303796875	858.3415150265639	871.7661460791234	980.8779244430673	1008.4710893994408	1059.0520344820263	1349.085419377062	1108.33201591924	1112.6772239027318	1226.7797435637099	1179.5172534223814	893.0316082904787	1003.5087663476077	1055.7107316798197	811.4308962053908	865.0499903046062	992.2054905389912	947.4320041722322
MED134_07104	1377.1041789803355	1382.7232452495289	1347.854675889192	1492.2600085674624	1418.70393968551	1494.6780697373647	1138.713317446769	1283.2928726833447	1236.2711373758748	1739.7729187614448	1775.4877071592177	1732.8843331827522	1403.7464742996892	1143.078618056199	1151.6582848340774	1325.601302587189	1296.4375533048496	1242.3845739612914	1593.1311575539023	1193.242234056214	1080.1791653238756	1293.9375915438989	1186.8019756134247	1625.118185669333	1502.104196466704	1383.6554081032912
MED134_07099	73.17944912455889	72.97018915001986	2203.045228867162	110.28641336769192	97.18198508093839	112.22023846270949	115.04955002809719	124.79347222204325	154.90447704529845	222.8676214454938	211.91485737486084	213.6641060220945	220.7504536197092	110.97850660739796	92.54396931702408	2439.1063967604273	110.42478509943777	120.0371569044726	110.90593643905135	120.65427048179873	123.25494518969649	129.49260847383556	255.4920919723345	208.91377193035999	228.46110850007915	207.1019707612668
MED134_07094	5477.81440083289	5023.812005548824	4220.179467956505	4803.397480675936	4817.7777800754975	4930.527498414789	4989.407895495612	4822.227755780122	4264.6907220987905	1955.6131827739725	2047.3890453253753	1727.5617397943015	2499.008340335939	5756.613678449457	5665.747454853363	4615.679072130417	5201.766021745271	4904.71823111675	4838.108380188263	5514.945198006627	5361.104860062074	4909.845696866727	2863.609312370271	2298.05149123396	2616.8178176506653	3084.5100990104766
MED134_07089	95.79855158124073	97.70584648900964	127.48182156193343	240.93339535711158	205.84215737616086	211.30832136063384	297.32684916899814	352.54155902727217	282.3856734653527	558.1729618184439	465.87631343520997	566.476010627973	782.0603677382005	261.5921941460095	316.7060283293713	195.28370408845416	580.7837933855926	570.1764952962449	688.9215816449307	569.0701418787199	643.4490445729824	583.2109847294884	1205.5330674002528	1151.650290490477	964.6135692225565	990.2806877780115
