C0 (323 genes)	C1 (74 genes)	C2 (37 genes)	C3 (79 genes)	C4 (355 genes)	C5 (80 genes)
MED134_03274			MED134_15850	MED134_03379	MED134_15127
MED134_03294			MED134_16545	MED134_03419	MED134_16069
MED134_03319				MED134_03424	MED134_16483
MED134_03364				MED134_03429	
MED134_03394				MED134_03469	
MED134_03449				MED134_03504	
MED134_03604				MED134_03509	
MED134_03649				MED134_03559	
MED134_03664				MED134_03564	
MED134_03714				MED134_03599	
MED134_03759				MED134_03689	
MED134_03769				MED134_03744	
MED134_03789				MED134_03819	
MED134_03794				MED134_03844	
MED134_03799				MED134_03859	
MED134_03834				MED134_04069	
MED134_03839				MED134_04179	
MED134_03849				MED134_04184	
MED134_03874				MED134_04219	
MED134_03879				MED134_04234	
MED134_03974				MED134_04259	
MED134_03999				MED134_04384	
MED134_04044				MED134_04389	
MED134_04049				MED134_04394	
MED134_04139				MED134_04429	
MED134_04144				MED134_04459	
MED134_04199				MED134_04524	
MED134_04224				MED134_04534	
MED134_04329				MED134_04584	
MED134_04344				MED134_04604	
MED134_04374				MED134_04729	
MED134_04409				MED134_04769	
MED134_04419				MED134_04804	
MED134_04494				MED134_04849	
MED134_04499				MED134_04854	
MED134_04749				MED134_04944	
MED134_04779				MED134_04969	
MED134_04954				MED134_04974	
MED134_04959				MED134_05039	
MED134_05029				MED134_05054	
MED134_05134				MED134_05104	
MED134_05174				MED134_05184	
MED134_05214				MED134_05284	
MED134_05219				MED134_05384	
MED134_05244				MED134_05404	
MED134_05249				MED134_05409	
MED134_05269				MED134_05419	
MED134_05274				MED134_05429	
MED134_05279				MED134_05434	
MED134_05294				MED134_05444	
MED134_05369				MED134_05449	
MED134_05394				MED134_05524	
MED134_05424				MED134_05529	
MED134_05484				MED134_05539	
MED134_05559				MED134_05724	
MED134_05574				MED134_05789	
MED134_05589				MED134_05794	
MED134_05629				MED134_05809	
MED134_05634				MED134_05814	
MED134_05679				MED134_05914	
