index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	0.2736084783012755	0.36263334572481726	0.31484345130284214	1.4006477192895497	2.4668506367395624	1.1682740905249562	1.2919592782605056	1.6060256828064283	1.3549675851835774	1.0207679090622783	1.118174075559167	0.11912436590726928	0.3417555076518783	0.40835977384894323	0.986824558130897	0.5691709237196613	0.8539846429684776	1.8646276202338217	0.9171802663581238	0.8468041104189983	0.9440300952136982	1.2312933635312169	1.3810379077773196
MED134_07384	0.03283807914245633	0.049351903781033685	0.036875483844389934	0.19026562539983435	0.3532934888661239	0.1627405194530887	0.17801254529996477	0.2356885579354849	0.1933554684852085	0.16318325364198488	0.1787984952116614	0.013320346647805058	0.03906743648030874	0.05427070372881857	0.1339266275434924	0.07138109350303372	0.11732437836543405	0.2474192494334852	0.1317548529576581	0.11520737682973411	0.1447596095394339	0.19340513426434253	0.18668870150781694
MED134_07379	0.0717080726296413	0.1053369573307079	0.07776640375173212	0.33012915484038563	0.636733966364647	0.273291464470789	0.34690292502818904	0.4194160105400768	0.33516478187100973	0.27460973257917964	0.3034653359097006	0.0246922881600662	0.08092540413778239	0.11154129560345123	0.22096515383633608	0.12743058350641487	0.1967819293160048	0.40295013599933216	0.211308225061276	0.21732688820420004	0.23208460237042053	0.3252907357393504	0.3301796720067261
MED134_07374	0.04190704126914626	0.06741057468226079	0.033359007292218724	0.16049088450192756	0.3039049122013727	0.11968231592513688	0.14256641622120164	0.15166284646685735	0.13318853138500972	0.07726461701888296	0.11340308228409353	0.014406957204166092	0.05170938832837402	0.05474795866110717	0.11095727683285457	0.06080347558466875	0.0776389040078329	0.1606258638843833	0.08641612017982538	0.08877543974389074	0.0943329301481977	0.11839012069436884	0.12710974138220896
MED134_07369	0.044016102228841586	0.06379249299027505	0.05015731082184739	0.1726111707353305	0.30688595190218154	0.12473524844308595	0.1291112220028844	0.1774241539621313	0.13479536353308624	0.07724071088737959	0.12390134255340209	0.017732360199926144	0.06202589752880187	0.06609980812197186	0.13411038234917752	0.08214887084465021	0.08021532051004486	0.1858325937760895	0.09315499193696773	0.11781213961202239	0.10856208983140454	0.12245230554472843	0.12297861508893032
MED134_07364	0.037351469596204334	0.05630242913669051	0.046403234502637586	0.14869075677280325	0.2889191450567663	0.1104787602674439	0.10650128305007042	0.15692473055099843	0.11459518795726709	0.06318390556339966	0.10432646142625383	0.013189203994451143	0.05327377701860283	0.06003185255430244	0.11126353484232973	0.06707873655196843	0.0733953944747779	0.15615658553478998	0.08188224690204211	0.0988315321246922	0.09357119783110955	0.10173516280789452	0.10153496531225858
MED134_07359	0.1883813249199871	0.2472990574030961	0.27347733186142276	0.4947820998979346	0.9102645010739949	0.3925406718943874	0.28021337886621467	0.31363021593182433	0.25742471223073593	0.1442735036228214	0.3193585354840705	0.062096046363079985	0.325096882139712	0.3198289839094069	0.4370301795210695	0.3163064306509723	0.21308480012411918	0.5339446844259118	0.28833452025596557	0.25870418551628765	0.20956779507729453	0.3229436956035871	0.25610595084053933
MED134_07354	0.06114167722156769	0.0957204770441142	0.05424402681491122	0.1894423606745466	0.3859237882938959	0.12697297570103483	0.14686686570502216	0.13412323285305383	0.10324534183196464	0.06829981770512025	0.0979473102209448	0.023249718973173107	0.08016435018037378	0.08692857695256744	0.13588667880413352	0.07713341605639175	0.0838742649543627	0.160804635018367	0.09020673554321797	0.08352321315009634	0.07739200341615704	0.10281841210132375	0.10196479348150146
MED134_07349	0.02796614832556011	0.041322301429521445	0.026682453838434213	0.09339480939097637	0.18635526562083113	0.06128485296769675	0.0805356903333662	0.0878076906541039	0.07473044752165424	0.053454110041529175	0.05901626172225889	0.009357965050040263	0.033148127922686205	0.0399530557601604	0.061864117913984606	0.033563138203890654	0.043041310978129334	0.08326265565292322	0.04382744168523828	0.038366874752229836	0.04835476748875638	0.0637763021506455	0.06452198407190092
MED134_07344	0.020246985213075195	0.030721956823177236	0.024021336447601946	0.0857567422174734	0.17386712633365914	0.06770929574051772	0.08405423991103754	0.10381258807669962	0.08243303972354489	0.04403509422920248	0.0581414066998165	0.0063416840229001585	0.024691972840368292	0.03535095462737742	0.060149073060923645	0.035773741499189396	0.042240240300970996	0.08321796286942729	0.04846041601827364	0.060784915091596184	0.06496053200127827	0.06291872979334737	0.06206241177012231
