Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_11801	1.3325943821166055	0.5979623695823026	1.3325943821166055	-1.700334854362453	-0.3009836625341359	-0.10556806877531567	-0.1147333216549916	-1.041531226488605
MED134_11811	0.054823959055739814	-0.46440112350836954	-1.2889157745210826	1.2566210450998925	0.5067663873434434	-0.3558983200218435	-1.2889157745210826	1.5799196010732988
MED134_11816	1.6380357520987543	0.22820120281859668	-0.7305154830658852	-0.7549014592772921	1.3596207379349892	0.3000561202802285	-0.7549014592772921	-1.2855954115120956
MED134_11826	-0.04232377685788491	-0.7555554155141705	-0.889589560777578	1.7740282527464337	0.019383891443165723	-0.7351598288574234	-0.8579971093645303	1.4872135471819907
MED134_11831	-0.24291821669613273	-0.6618088972970334	-1.1303763489331895	1.6223756776755585	-0.44774441358295275	-0.19086154389191284	-0.6583077241388168	1.7096414668644786
MED134_11836	1.299122902100132	0.3755907991766547	-0.16548004162852983	-1.8500664482317504	1.2064259632328522	0.3122829941680536	-0.10190557932323092	-1.0759705894941858
MED134_11846	-1.3992337539317745	0.7377733292974401	-0.03427417975822988	1.0537630080584495	-1.5846454504720144	0.5640209204643409	-0.48647531746100536	1.1490714438027747
MED134_11851	-1.3112530207940991	-0.5030257906190246	0.5299061457703552	0.736235094412311	-1.4647454851761952	-0.3078344830802031	0.7918268325231423	1.528890706963719
MED134_11856	-0.2918923017773742	-0.9309129700191253	-0.16130542208127932	1.607934791361194	-0.4868095521233286	-1.0555671496926373	-0.39339414987601384	1.7119467542085716
MED134_11861	-1.1521422788955602	0.011331750870414572	0.0508634234095307	2.0235333976868533	-1.2369139889885759	-0.35424477338085125	-0.2643068901617556	0.921879359459935
MED134_11866	0.6706752697778342	0.39654273409334895	1.1464769965791033	-1.3456749798112697	0.3269452373027907	0.23152716685566396	0.5296857148164575	-1.956178139613897
MED134_11871	-0.3228484839682471	-0.3011096462654787	-0.8442695471404326	2.1006969461979206	-0.5793464491159145	-0.5512194147951491	-0.7296875833154813	1.2277841784027799
MED134_11876	-0.4636694314692706	-0.512003621408614	-0.2717900089920946	2.009258151895853	-0.7420484532544751	-0.88188528855408	-0.4940997730963236	1.3562384248789945
MED134_11881	-0.6231540023373195	-0.48700854397322213	0.1513902653323054	1.6355741621894022	-0.9740994127685043	-0.9744938835776873	-0.35638580947218584	1.6281772246072281
MED134_11896	-0.9048991984276231	-0.41716549159994787	0.3195807647898161	0.9643376710303709	-1.2505350736380014	-0.8663961793646664	0.25949488459388587	1.8955826226161725
MED134_11911	1.272719829777144	0.4134243067508324	-1.3747958898670039	-0.7655292792010714	1.137227076468823	0.5485080011123332	-1.4466370070256627	0.21508296198460938
