ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	126.651810363764	103.19928963031299	132.954350053171	207.076817116318	186.093461806266	232.10448314616403	217.03908278328498	319.50861988592703	287.121249276517	267.844848901929	295.078651969668	301.74234359090303	332.424642445652	281.384610741015	149.177296698165	117.908553315927	120.087300648898	213.92275493481498	215.290130782346	232.179319378888	214.45717341901198	309.890336430927	332.91748139657	319.950738615923	279.889139155039	329.78895237656	298.88037189806704	342.59066044137995
MED134_07384	93.13359166259	86.05173610562771	95.4096646734699	172.349350365673	163.294158528961	193.75572986801103	174.15463247967602	274.518258370939	245.054703629966	226.11628344975298	265.320348533126	263.82173245501497	325.603110738972	275.677636798637	102.203181017847	82.58315268743871	97.78367075762941	177.881475059118	208.066386016328	178.406543761062	189.167529023885	260.851290470882	270.660405241624	281.605926780187	233.308269489851	309.844949646243	287.640881117116	283.749241909563
MED134_07379	98.55844737970841	89.00895307681641	97.50880970462342	144.920690623491	142.623217780591	160.28696403597	144.682310060038	233.79054496192998	199.430055446073	213.543515216941	228.80961062514402	221.62037414391799	265.537633012565	226.748260895421	91.8136853038611	82.900780197775	97.3943503831401	142.227893332771	179.916999008629	154.34709216294502	155.9463079029	212.02503283696998	213.618935444203	218.87127581077	213.285093136858	240.735724999906	234.45068360703098	243.20035458278
MED134_07374	216.411361294224	214.016967674038	157.156450369796	264.70621552140096	255.76268714408798	273.81171786138697	280.646379260188	305.004991110668	328.141969278713	329.733378073695	310.867781130818	330.89133113223204	280.710116353091	318.366224561909	201.27303849384202	199.026265902662	179.611138058708	268.339143646632	265.667262694822	276.70718639039296	313.850369753118	314.303034818621	319.941936936264	336.305821293944	327.34606680363	367.641723972929	320.599267263288	351.7709410961
MED134_07369	287.031905953077	255.74979095115	298.386295383371	359.50770495546095	326.138455914899	357.641092642716	395.11672744281	390.25198189568	431.86352770489196	377.08148339640803	459.234798817764	422.881853739032	354.36368244352303	439.24181426036006	312.827855416125	301.466867101375	273.83633195034804	409.558719605578	474.85572272350305	472.083876707337	452.080612545241	410.064371811947	467.41550854041196	457.795257640973	548.567247405722	534.275427241153	418.73529081805	429.77016139788697
MED134_07364	220.98861842842098	204.793640055305	250.458919312809	280.974492935277	278.57679858749196	291.13716479305697	310.660888874578	311.82100473779496	347.04016699576204	282.208230074432	368.51660206816103	326.177572578117	262.99835439309504	335.55658154346503	211.106243631465	234.921972575646	225.64007506205897	308.283477404663	313.853690160747	349.740610262851	322.214731532433	340.41378877768994	356.35688451386596	365.088815222925	417.52162938034104	417.804212308789	315.636560621858	321.933303540336
MED134_07359	1890.9802835330802	1526.15531801395	2504.3586436013397	1586.2945947509602	1489.0976181926699	1591.69070593135	2138.49588839409	1330.1399305520301	2092.05237802559	1259.76820392244	1249.59852575532	1243.1538854314501	1018.87306892114	1742.75666755489	1686.2943424730302	2432.25942676347	2039.5729751294698	2054.45089367207	1891.5863720907198	2798.0543857489397	2350.51116951788	1676.78641371401	2067.32167051176	2181.18427430765	1854.27373365141	1587.60372755366	1699.9258161703	1377.70708496989
MED134_07354	234.433994344804	225.63954395978803	189.741005103763	231.996294056006	241.152182965164	223.74030423708697	250.10036046935699	235.50768689104302	258.483767725988	252.20848191228902	204.12241865563098	190.449224194459	184.24136162356498	204.16666025694198	241.16885790787103	229.09333422071398	211.74739991822202	244.003078806598	236.530577556408	260.630226524496	257.685639534807	252.108847881855	237.817844253686	260.656626142244	228.671305025622	223.948284853479	206.732204930073	209.51810218438203
MED134_07349	59.9150273639235	54.4270413056067	52.1500714324158	63.9067242181517	65.06556165334099	72.8144296211207	64.6144114338776	69.269788936308	69.7099854809751	77.2759073546377	74.6687900732092	77.0240216119486	80.5691087392217	68.7359394943997	54.23814200724	52.930993874224995	54.378269600854395	62.069337942013206	65.7132863724561	63.3672183404485	58.5608338496031	72.28775169287391	68.8043664117928	70.7612978181685	58.6922511595221	78.18272742929041	71.65004126313309	74.07964411785579
MED134_07344	24.7446974993716	23.083293707099	26.782122057974302	33.474243350693804	34.6294559531645	34.8582895292902	35.1236233572455	47.7564925534478	43.9348166603689	46.0080716260479	50.358786351397704	48.4672747059169	37.8621319033393	38.6292600918282	20.967500512717802	22.491867228639602	27.447020474579997	34.4259477336441	37.4512700948193	38.5287681919199	33.4906129115482	40.4691688307109	39.22848172152371	44.632938986439	53.044313774464904	59.9155800977384	40.323269160973204	40.6479361900351
MED134_07339	35.597175638212796	42.6966375919107	32.9690474361643	43.52917159727	44.1373624587882	41.2346271541125	43.6961216212568	47.7346265724185	46.807993113584004	52.9262684723486	101.30226922338001	94.7737876153311	84.3527698969526	75.69049504136301	39.9781310142314	32.1625267406847	36.0630155405524	37.2640648799225	41.0124140715871	36.243517564985105	46.13226658703179	47.7921587851551	42.8879007903264	47.9822724378899	73.14143974272291	96.73548060380821	82.63998181512359	68.7410427748985
MED134_07334	95.08665528664758	95.8067971940994	93.6712003926778	81.8437811203719	106.027969710168	91.69538055776009	95.53914846580221	95.8446274162946	101.722215439399	133.79194782417102	119.706256222308	127.21160004031401	113.973513055754	120.703319177214	96.5268979782921	98.10023026692308	97.8643762823139	78.81684011422129	84.41397386451351	87.11427022972642	81.9613976482646	115.250357193696	95.090092508108	101.245577854208	126.48407614222602	129.39086149155898	125.72336360352199	119.954942640068
MED134_07329	133.77859842863398	141.91809938529101	142.09697481318997	96.03361804485192	93.357542667971	87.1513397292792	87.0558686250005	65.521408563954	65.2315414886705	91.5639949619776	120.638843318591	124.438983175362	128.650517316616	111.71877657040599	132.092369704864	115.719966304969	138.90457631471202	81.519249207506	98.45768768058392	80.9218010162906	96.63150538030528	63.0047715766907	57.67279875243361	61.08443068159921	115.485983182176	127.722577407903	125.339574708648	119.767606156524
MED134_07319	48.4016120429221	43.819141232937405	111.03623458685699	42.264436339782705	39.926295516381	35.171373573871605	52.554527035970295	20.9103554602131	32.354454635170995	35.0407040931719	38.6942018860291	54.0060498341799	43.97410411702371	54.89885436121321	77.68201367574109	95.56640896899191	75.6165620474291	46.90381803436271	58.8629034707129	71.9371994314668	71.40422665329099	26.848201797916797	31.790343475732	34.4318241674385	45.9822338654926	55.410335220086004	49.6619542318184	38.5985436127832
