	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
C0	-1.0491684789530502	-0.4748911176410241	0.05424841517835455	1.5696400590023163	-1.0554624510838462	-0.3927336271744883	-0.04335503357091391	1.3917222342426514
C1	0.7486615028311909	0.12917946614107967	0.5315132752974946	-1.5882380176491686	0.7911786642495876	-0.14252097307418474	0.9611884115807902	-1.4309623293767877
C2	1.2181714809563366	0.1491200545188224	-0.056704258425197905	-1.4501695750382098	1.2024540006802626	0.23642704780865162	0.07206119305981487	-1.3713599435604804
