Genes	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3_T1	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2_T1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4_T1	L_34_R4_T2	L_34_R4_T3	L_34_R4
MED134_11501	1.5864143394493944	0.16603883392009994	1.0195909188084988	-0.007164861816482722	0.36808034445792104	0.23081699158207375	0.20656784359293442	0.54124658712339	0.072301650742811	0.5611648289256088	-0.020576308070944217	-2.1482339564221444	-1.459739439700399	-2.0613250738246878	-2.59914227215753	-0.18039059329236473	0.6557946845938739	1.845709437907245	0.5295310494508565	1.1752033140295832	-0.18039059329236473	1.0530227544284028	-0.08741905627004432	0.7608535222095767	0.9146878397499446	0.1889808507527481	0.3401137866346735	-1.1986664363774695	-0.6797799049639244	-0.3710352494698091	-0.27160608567866196	-0.39827607158668626	-0.5523736754360186
MED134_11516	-0.23947608954734703	-1.2106815406156557	1.2646553094525002	-0.7528052999305371	-0.8746652262775394	-1.2106815406156557	-0.8746652262775394	-0.5840358932442445	-1.407444090789002	0.010980181799443559	-1.9163544727834423	0.9257621698305568	-0.32729942480184426	0.12236542096609043	1.1879996608242542	2.1805732801629643	-0.32729942480184426	1.2646553094525002	-0.11921137169254226	0.12236542096609043	0.2452310212900264	0.9257621698305568	-0.4799084125381827	-0.4799084125381827	0.2452310212900264	-0.8746652262775394	1.7618196686225893	0.8410197767188055	1.1879996608242542	-0.23947608954734703	-1.407444090789002	-0.32729942480184426	1.3669011858385336
MED134_11526	-0.3384432574752273	-0.5985708327441768	0.09382694779028111	-1.431958207524467	-0.8140631032029213	-1.587592193413745	-1.8851677579037045	-1.6563206177306713	-0.579611072428078	-0.44175304300416457	-0.30493491548449486	0.6310057821806871	0.3798143152995719	-0.043143787939026255	1.48394502895618	1.070498098389464	-0.49830464343357433	-0.39081419585919536	-0.016791960490429934	-0.7493368889477848	-0.8026282944827005	-0.2276239111844584	-0.7615648150524162	-0.2276239111844584	0.0850421207823392	0.1499182312817627	0.48686476341736784	1.1907046698573587	1.525762992844311	1.6603023429536445	1.9433606900702736	1.561698802240385	1.0935026234221787
MED134_11531	-0.7096905438190106	-0.9574518482976245	-0.2740058949653617	-1.0141093185497638	-0.5961564581192998	-1.1115673209991301	-0.780370874453131	-0.9834263729586165	-0.434643879268886	-0.5632115135541973	-0.44983115536163554	0.5819664777716405	0.8177274491075983	0.6456507304230344	1.497217392526607	2.1436492585952784	-1.0212805125822126	-0.9759557836275178	-0.6227628806733569	-0.7564248554819644	-0.6742174520854819	-0.8691852186012266	-1.1852406001182685	-0.14402347666950993	-0.50584407343514	-0.12152615361178094	1.1096540484165316	1.1997516849858063	2.084594041802029	1.2203944038702323	1.1005952440571782	1.1662431236768867	1.1834823320002328
MED134_11536	-0.287672294316047	-0.3097617539807581	-0.5649535220626346	-1.6430413497845544	-0.671071023150844	-1.5455659827545383	-0.7531394598822775	-1.0284023651192176	-1.0082645929051361	-0.47561613176935325	0.21603964850177476	0.8369708552809607	1.4340379582768077	1.166443437642763	1.5975762050291835	1.4710953903274786	-1.1951545936722705	-0.3758323888817373	-0.5895815983702652	-0.9555732300823362	0.1991656585495302	-0.9686885497238558	-0.9686885497238558	-0.6825284713523896	-0.5130923740083222	0.37057111824914196	0.0014068019313977602	1.4397576978829407	1.6507336188193866	1.3842465361048801	0.6094516116310704	0.7748851572081604	1.3842465361048801
MED134_11541	-0.25881655245685664	0.5460127400934852	1.0295316036310151	-1.2818249665002845	-0.8320314060875966	-0.9100322064689259	-0.8576981417864717	-0.9931147508760951	0.9333669402017695	0.1650062700896648	0.7852482784698953	-1.3315901804689063	0.1966641152180934	-0.46125501949402914	-1.1238989669026216	-0.7505796119649684	-0.2225742728163521	-0.25881655245685664	1.5830519236292913	-1.2045559471652127	-0.6420101234078986	-0.8852037221986704	-2.2929590467690972	0.5460127400934852	0.1650062700896648	0.6319086508367328	1.6035035835863172	2.016770893216829	0.6738574849003844	0.8897446197827942	0.9834613091922515	0.8375855114937654	0.7202285332954467
MED134_11546	-1.2396886753680285	0.7836999495902479	0.13046047834231958	1.2534316577410978	1.9285394628966233	0.8620810990824901	0.6225167761901681	0.7243367850984851	-0.6819867224700026	-0.7289302128544365	-2.7147892278353063	0.36397340733901434	0.4287834086718487	-0.382300544504686	-0.7289302128544365	0.0362614799208385	-1.2396886753680285	0.6552554040586549	-0.8615955167182316	0.13046047834231958	1.5733236628459524	-1.109982072025037	1.3400212197231953	-0.4732794686580512	-0.9452698226417486	-1.2044785097963953	0.30751766793190805	1.2153146869936853	0.09912287236033544	0.6552554040586549	0.6225167761901681	-0.31197094425845595	-1.109982072025037
MED134_11556	0.17267655985950342	0.029521774442388928	2.390016245164557	0.9885177171505155	0.7468850043468096	1.064858902549615	1.0221774409454298	0.6314760273837174	0.5920802032767918	0.1788983116959349	1.3484670733069024	-1.2883798458423221	-1.0560242874328716	-1.3043864063135961	-1.6818745908078516	-1.5800056022026103	-0.10962134297536888	-0.20274882329571542	2.0341707900089805	0.6512161022882602	1.1549320544657602	0.35261667711680283	-0.19245258971649423	0.029521774442388928	-0.2903962118253655	-0.47468228768043036	-0.18738740656426187	-0.30833871630731235	-0.606112702198874	-0.9681644236825315	-1.0903038066978379	-0.9911293274680592	-1.0560242874328716
MED134_11561	-0.2530767275297503	-0.4890570905700412	0.3039429590827001	1.3447531427213217	0.7434219758798036	1.7637510757267711	1.4045899290141148	1.5771233409813714	0.05986566219853423	0.4301710105900511	0.12045451485595011	-1.3605991207264339	-0.785841843224554	-1.2435918648803612	-1.749782999261851	-1.2811728859354765	-0.36662080653827256	0.04428888372281181	-0.012888302561959422	1.3447531427213217	0.8558054068591	2.21583995946571	0.9783696705530988	-0.4831416114470144	-0.37300470068506797	-0.2169749103765409	0.3150256523098723	-0.10252852591348025	-0.9192179358338789	-0.9120377545123112	-0.8026199059452006	-0.9255049141628271	-1.2244944265774613
MED134_11576	-0.20162808945737748	-0.21865892924195737	-0.18335967400468928	1.4694693055395878	0.9678084577440214	1.609980930650599	1.6312981800486799	1.3100795795739106	0.8143122888135425	0.556197351897439	0.6426260194228899	-1.3312946084216257	-1.526561129855164	-1.6361428470879897	-1.836825925298424	-0.9796643317618247	-0.3070725520766365	-0.4586430004194173	-0.4318471196944658	1.14939965669981	1.1719379562415941	1.4275524701300109	0.8738992350517506	0.1633184837584566	0.25484360352047186	0.13395858244858114	-0.12629346241866904	-0.558859623282085	-1.0002489627904052	-0.7907693134056962	-0.8088185873641661	-0.779744982170127	-1.0002489627904052
