Genes	T_10	T_18	T_25	T_34
MED134_00010	1.107015295052596	0.7978445372736307	-1.3547455512416324	-0.5501142810846164
MED134_00015	0.9795570662076067	0.5951921448999042	-1.6377559099550036	0.0630066988474651
MED134_00020	-0.7114949157491904	-0.506716236867002	-0.5078085730290764	1.726019725645269
MED134_00025	-1.0937086154842	-0.8528903765413314	0.6718400027625002	1.274758989263031
MED134_00030	-1.4544029280261261	-0.3247386856962483	0.5760548837233074	1.2030867299990597
MED134_00035	-1.1315864969405864	-0.5538540199308098	0.13830459400441425	1.5471359228669883
MED134_00040	1.393917066445657	-0.25153469344642604	-1.3900949558140159	0.24771258281479186
MED134_00045	-1.0995564009897592	-0.2552227882740039	-0.27343208253923423	1.6282112718030017
MED134_00050	0.1240632775029367	1.025656642482799	0.4909047437997151	-1.640624663785437
MED134_00055	-1.2088136784557042	-0.7466118827247954	1.16412043157793	0.7913051296025696
MED134_00060	-1.5365442130192177	-0.006518924961075124	0.29799832772945617	1.2450648102508368
MED134_00070	1.3285684643021682	0.5934792811411683	-1.094355059313618	-0.8276926861297186
MED134_00075	1.0525850082342671	0.6007854675469354	-1.5896743129540647	-0.06369616282713861
MED134_00080	1.1235036657629274	0.4807695242225758	-0.021190392126340368	-1.5830827978591628
MED134_00085	0.8309920613633365	0.4437115302254678	0.43506082271851	-1.7097644143072985
MED134_00090	0.29961088189752144	0.5134871442507426	0.8810844891450952	-1.6941825152933592
MED134_00100	-1.5958590013656722	-0.04407760225185958	1.0508310107914065	0.5891055928261054
MED134_00105	-0.7002408160334845	-0.7423044348582466	-0.2580584026328492	1.7006036535245717
MED134_00110	0.07479106187374318	-0.6030763155458618	-1.0570618615130623	1.585347115185178
MED134_00115	-1.4135717302852482	-0.4515137649603811	1.1038295408992476	0.7612559543463864
MED134_00120	-1.5137876700858746	-0.04773435037973041	1.274214559966874	0.287307460498731
MED134_00125	-1.4638444501877357	-0.3849155819480509	0.9197652453904207	0.9289947867453604
MED134_00130	-1.4425407399656376	-0.42165044947685104	0.9750066457329886	0.8891845437094973
MED134_00135	0.6372261864385175	0.16367681319616573	-1.6745060278354822	0.873603028200799
MED134_00140	1.2759756256075951	0.6606167348170382	-0.7946921086767276	-1.1419002517479002
MED134_00145	1.3592707661687813	-0.33291295983755137	0.3571218414343831	-1.3834796477656082
MED134_00150	1.412916979304535	0.4249562102678018	-0.6599106323100011	-1.1779625572623225
MED134_00155	1.159295087707786	0.39070978353286784	0.031881451389887155	-1.5818863226305393
MED134_00160	-0.601397223019383	-1.0005513114917186	-0.021855879131185193	1.6238044136422893
MED134_00165	0.26285871508403047	0.43216116941184457	0.9758599417290929	-1.6708798262249296
MED134_00170	-1.1655899918772425	-0.8193435297729144	0.9855527037807691	0.9993808178693878
MED134_00175	-1.1929784564099433	-0.6804920583915599	1.3602840008131762	0.5131865139883014
MED134_00180	1.153538788063947	-0.7057219799165739	-1.2415121591436402	0.7936953509962672
MED134_00185	-0.5904350342422455	-0.7018955010497758	-0.43171925068639744	1.7240497859784147
MED134_00190	-0.8290936123125466	-0.632849392788603	-0.22909796186008552	1.6910409669612336
MED134_00195	-0.6589173697269596	-0.7349153094194956	-0.3165782630578537	1.710410942204307
MED134_00200	-0.7750387696930305	-0.6588580010810583	-0.2672241262352893	1.7011208970093725
MED134_00205	-0.7182072976990357	-0.4075753292766352	-0.5956352004290364	1.7214178274047103
MED134_00210	-0.7043236542753972	-0.44988287122973175	-0.5708159940862909	1.7250225195914177
MED134_00215	-1.2840024112623003	-0.40599450370850393	0.22918132370067718	1.460815591270127
MED134_00220	-1.027384313576406	-0.664641371132198	0.1141460986297981	1.577879586078813
MED134_00225	0.3354735757469361	-1.5502073506933587	1.2183192497053457	-0.0035854747589725666
MED134_00230	0.9689043849445236	0.9689043849445236	-1.3188309281940438	-0.618977841694988
MED134_00235	0.7209172578216959	0.8697580510124977	-1.649350321479597	0.0586750126453945
MED134_00240	0.8839357941923688	1.023546553819277	-1.3731249540463888	-0.5343573939652112
MED134_00245	0.5286449842744315	1.0559512363203463	-1.6138907331809538	0.029294512586175936
