Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_07856	-1.6413249747589205	0.09976633162760644	1.4115816800525678	-0.29745784406317893	-1.0739561874033388	0.2538966803290654	1.4044803218662474	-0.15698600765005355
MED134_07866	-0.8094006109417132	0.36573960178535425	1.4713704574016058	-0.7520211206055513	-0.9722142446164717	-0.018811968501215706	1.638143431580516	-0.922805546102524
MED134_07871	-0.9802674214418371	-0.24910146970792366	-0.09579200898547523	1.5385955929937123	-1.0046834743474287	-0.8191327752512115	-0.09579200898547523	1.7061735657256365
MED134_07876	1.5764213233675692	0.14812899509803218	0.15407219933889318	-1.4587369645407506	1.3488067971802844	-0.08492901575533317	-0.6213372950984126	-1.0624260395902791
MED134_07881	1.6681104020647146	-0.2669332296188294	0.5909503706398767	-1.462656575371937	1.2006662144269946	-0.2427308637879937	-0.5842332078205754	-0.9031731105322784
MED134_07891	-1.1848937320012802	-0.5771832743841748	0.7521250338314527	1.1557249768165465	-1.283880286509841	-0.7906315699827575	0.6267080769137663	1.3020307753162856
MED134_07896	-1.7816233085619582	-0.5052484495661869	0.7484020949802274	1.1127925191000105	-1.1641881962437222	-0.08869441431836807	0.8307001348468962	0.8478596197630965
MED134_07901	-0.19535611111116594	-0.6833639615639959	1.6147124686676388	-0.45581232518677517	-0.7478122241410443	-0.5606526873699543	1.7942887085521881	-0.7660038678468679
MED134_07921	0.552571008126835	1.009358312427109	-0.7955748859096754	-1.3435916873255103	0.9094226553191993	1.3889706487208473	-0.8504550026319573	-0.870701048726846
MED134_07931	-1.5857711441249556	-0.7052690907691154	0.29356163122994006	0.8463113297891556	0.10701632578131368	-1.2149777480378607	1.3997952074740712	0.8593334886574596
MED134_07946	-1.8228534970306975	0.8330838872901394	0.18890965929078538	1.4961487509199636	-1.1792570266115157	-0.11276868921431381	0.045764978194713375	0.5509719371609311
MED134_07951	1.0087782580506957	0.25046358913839406	-1.332632928583179	0.5219484634180258	0.8709918843632187	-0.179308040738328	-1.8797847746149319	0.7395435489661034
MED134_07961	1.0647358927536565	0.04219181619177703	0.4467820962684401	-1.646915265650437	0.9885115468813968	-0.055996926908013396	0.7249201291885591	-1.5642292887253746
MED134_07966	0.3506074189229616	0.003249838293093602	1.337773418981895	0.600881939686532	-0.7595827411504191	-0.611140112977148	1.0140730322619946	-1.9358627940189732
MED134_07981	1.399973465238262	-0.7860323591576449	-1.0874498477446688	0.1643319447833184	1.1373688538186735	-0.39512593849147826	0.9387092788104343	-1.3717753972568865
MED134_07986	1.673450352543249	-0.4426020890018061	-1.3312209959342385	-0.30260147766066064	1.2350938174878798	-0.5622096757013334	0.65939639562675	-0.9293063273598329
MED134_07991	0.575960495199794	-0.8093275181408308	-0.8138468363786054	1.8195740152967979	-0.0554721299879314	-1.2507756982095426	-0.5485398174387889	1.082427489659094
MED134_08006	-1.3066010858103585	-0.6558608668989617	0.24631255094178803	1.9331031491013204	-0.8932472199503222	-0.5886257317258009	0.3867958856223692	0.8781233187199482
MED134_08011	1.1434177744893073	-0.38985181247158485	-0.3375872509029229	-1.1009593432354499	1.5883929339875353	-0.19461296495560051	0.7416090361155411	-1.4504083730268358
MED134_08031	0.3892582459925093	0.851946015849022	0.13523701367669325	-1.4807666430386925	-0.17011562405341138	0.30017592713807156	1.5350878039823923	-1.5608227395466079
MED134_08036	1.4689210807954216	0.7696927021759568	-0.12002706291883129	-0.4827808353746999	1.0364630584176517	0.013101131480092596	-0.9412335196980233	-1.7441365548775736
MED134_08041	-0.5404105698072645	0.32544619670235175	0.7604141096222117	1.4420657893384754	-1.0789372457920245	-1.699155144981881	-0.1434685412554013	0.9340454061735929
MED134_08046	-0.9400793337341622	-0.30417001355197315	0.35376538880079084	1.6668227456849605	-1.2466459267980807	-0.8827173592186929	0.016349472880063273	1.3366750259370737
MED134_08051	-0.15237209352768757	0.20925584459844582	0.10305579990192479	1.7394943784612256	-1.1750394591860425	-0.9628555278554332	-1.01220511007722	1.2506661676847748
MED134_08061	0.5782307413203553	-1.125604377698535	0.26409917319837645	-1.2213092945884962	1.154520806864879	-0.09454508966563092	1.5254970232645935	-1.0808889826956058
MED134_08066	1.0070001470444296	0.35577602611492737	0.6474749245520677	-1.7309956590400752	1.0070001470444296	-0.43198655168508765	0.5419513680637237	-1.3962204020944042
MED134_08071	1.0127465823889223	0.4442306355576479	0.08641003918129395	-1.8653701861738612	1.1482235425911558	-0.02651226254421541	0.5087138218202971	-1.3084421728212434
MED134_08076	0.6699403698103541	0.3182637731342163	0.3285919074207266	-2.1282202144008835	0.9855499752224016	0.5644485607593732	0.4212623590112104	-1.1598367309573836
MED134_08081	0.6117834532390868	0.22024650296284856	0.5708342932807966	-2.1907317171913347	0.6944242779725368	0.02897559142812759	1.0239274360272588	-0.9594598377193112
MED134_08091	0.36684374433940514	-1.1711801568461369	-0.20410360259158622	1.0833830114883007	0.06498077897096481	-1.6029150123816158	-0.17256603838121626	1.6355572754018624
MED134_08106	-0.41697004007961913	-0.8588234178978607	0.6228809255472023	1.8367133462854084	-0.598364784890308	-1.5258813167545708	0.15519178792018803	0.785253499869567
MED134_08111	-1.008054402491466	-0.5761576598273739	0.8296188927640493	1.0604630609317867	-1.345259187249967	-0.9756183315674284	0.853656514888485	1.1613511125519054
MED134_08136	-1.3125916930762083	0.5207193673935334	1.194842500504627	0.9577808126682706	-1.8330718005785394	-0.17290662792827177	0.4997486241591381	0.14547881685744513
MED134_08141	0.5856937863401178	1.0220075362115593	0.4646562229297971	-1.5224679418544935	0.4830702367624109	0.6717409033696907	0.1328030012800191	-1.837503745039098
MED134_08146	1.5225257706507436	0.03796774230174235	-1.0042554280880998	-0.22846418715656222	1.731278921503891	-0.4598389635254793	-0.542480670858222	-1.0567331848279857
