C0 (380 genes)	C1 (156 genes)	C2 (93 genes)	C3 (135 genes)	C4 (154 genes)	C5 (375 genes)	C6 (89 genes)	C7 (131 genes)
MED134_00900	MED134_02545	MED134_01775	MED134_01595	MED134_01560	MED134_00715	MED134_02900	MED134_01890
MED134_00950	MED134_02595	MED134_02025	MED134_01910	MED134_01580	MED134_00765	MED134_02950	MED134_02105
MED134_00965	MED134_02655	MED134_02275	MED134_02080	MED134_01690	MED134_00775	MED134_02980	MED134_02365
MED134_01010	MED134_02875	MED134_02480	MED134_02475	MED134_01865	MED134_00815	MED134_03159	MED134_02390
MED134_01080	MED134_02930	MED134_02535	MED134_02565	MED134_01960	MED134_00830	MED134_03164	MED134_02395
MED134_01100	MED134_03040	MED134_02735	MED134_02620	MED134_02060	MED134_00850	MED134_03694	MED134_02405
MED134_01175	MED134_03105	MED134_02800	MED134_02770	MED134_02305	MED134_00855	MED134_03979	MED134_02415
MED134_01190	MED134_03289	MED134_02810	MED134_02855	MED134_02690	MED134_00880	MED134_04059	MED134_02425
MED134_01205	MED134_03654	MED134_03050	MED134_02955	MED134_02780	MED134_01005	MED134_04109	MED134_02445
MED134_01240	MED134_03709	MED134_03274	MED134_03000	MED134_02825	MED134_01030	MED134_04179	MED134_02450
MED134_01350	MED134_03774	MED134_03354	MED134_03184	MED134_02830	MED134_01075	MED134_04339	MED134_02455
MED134_01370	MED134_03839	MED134_03449	MED134_03269	MED134_03214	MED134_01290	MED134_04539	MED134_02460
MED134_01400	MED134_04019	MED134_03604	MED134_03399	MED134_03374	MED134_01385	MED134_04544	MED134_02505
MED134_01415	MED134_04149	MED134_03664	MED134_03444	MED134_03489	MED134_01390	MED134_04549	MED134_02510
MED134_01455	MED134_04324	MED134_03834	MED134_03499	MED134_03504	MED134_01420	MED134_04614	MED134_02605
MED134_01460	MED134_04454	MED134_03854	MED134_03554	MED134_03729	MED134_01430	MED134_04689	MED134_02970
MED134_01520	MED134_04619	MED134_04044	MED134_03569	MED134_03844	MED134_01465	MED134_04709	MED134_03080
MED134_01585	MED134_04639	MED134_04144	MED134_03784	MED134_03899	MED134_01505	MED134_04849	MED134_03144
MED134_01760	MED134_04774	MED134_04199	MED134_03804	MED134_04069	MED134_01510	MED134_05064	MED134_03514
MED134_01855	MED134_04814	MED134_04294	MED134_03824	MED134_04154	MED134_01570	MED134_05069	MED134_03589
MED134_01920	MED134_04924	MED134_04624	MED134_04004	MED134_04384	MED134_01575	MED134_05109	MED134_03669
MED134_01935	MED134_05004	MED134_04959	MED134_04119	MED134_04394	MED134_01605	MED134_05409	MED134_03869
MED134_01945	MED134_05079	MED134_04964	MED134_04249	MED134_04489	MED134_01620	MED134_05784	MED134_04024
MED134_02120	MED134_05084	MED134_05134	MED134_05019	MED134_04739	MED134_01625	MED134_05929	MED134_04029
MED134_02140	MED134_05089	MED134_05209	MED134_05074	MED134_05049	MED134_01630	MED134_06114	MED134_04174
MED134_02145	MED134_05129	MED134_05579	MED134_05364	MED134_05119	MED134_01640	MED134_06339	MED134_04189
MED134_02175	MED134_05139	MED134_05744	MED134_05564	MED134_05204	MED134_01645	MED134_06399	MED134_04229
MED134_02185	MED134_05149	MED134_05754	MED134_05659	MED134_05314	MED134_01650	MED134_06444	MED134_04459
MED134_02190	MED134_05234	MED134_05969	MED134_05824	MED134_05419	MED134_01695	MED134_06554	MED134_04524
MED134_02195	MED134_05304	MED134_06369	MED134_06039	MED134_05429	MED134_01700	MED134_06569	MED134_04529
MED134_02235	MED134_05334	MED134_06509	MED134_06134	MED134_05514	MED134_01800	MED134_06634	MED134_04554
MED134_02310	MED134_05339	MED134_06589	MED134_06139	MED134_05524	MED134_01870	MED134_06649	MED134_04609
MED134_02340	MED134_05494	MED134_06609	MED134_06144	MED134_05554	MED134_01875	MED134_07354	MED134_04649
MED134_02350	MED134_05499	MED134_06859	MED134_06174	MED134_05584	MED134_01885	MED134_07461	MED134_04714
MED134_02355	MED134_05599	MED134_07064	MED134_06264	MED134_05689	MED134_01895	MED134_07546	MED134_04829
MED134_02380	MED134_05604	MED134_07339	MED134_06409	MED134_05764	MED134_02010	MED134_07591	MED134_04859
MED134_02540	MED134_05704	MED134_07636	MED134_06464	MED134_05779	MED134_02020	MED134_07661	MED134_05374
MED134_02550	MED134_05869	MED134_07716	MED134_06504	MED134_05804	MED134_02095	MED134_07751	MED134_05404
MED134_02630	MED134_06009	MED134_07791	MED134_06514	MED134_05809	MED134_02110	MED134_07881	MED134_05474
MED134_02660	MED134_06014	MED134_08156	MED134_06529	MED134_05834	MED134_02170	MED134_07961	MED134_05749
MED134_02680	MED134_06019	MED134_08816	MED134_06784	MED134_05994	MED134_02225	MED134_08081	MED134_06109
MED134_02925	MED134_06024	MED134_09056	MED134_06864	MED134_06064	MED134_02285	MED134_08251	MED134_06419
MED134_02940	MED134_06094	MED134_09891	MED134_06909	MED134_06169	MED134_02290	MED134_08396	MED134_06614
MED134_03030	MED134_06229	MED134_10006	MED134_06919	MED134_06294	MED134_02295	MED134_08886	MED134_07094
MED134_03045	MED134_06534	MED134_10231	MED134_06924	MED134_06364	MED134_02360	MED134_08891	MED134_07436
