C0 (361 genes)	C1 (12 genes)	C2 (35 genes)	C3 (34 genes)	C4 (23 genes)	C5 (55 genes)	C6 (310 genes)	C7 (70 genes)	C8 (50 genes)	C9 (34 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
MED134_00470		MED134_03969	MED134_06514	MED134_09676	MED134_05519	MED134_00775	MED134_02420	MED134_05374	MED134_06809
MED134_00510		MED134_04494	MED134_06859	MED134_09696	MED134_05564	MED134_00810	MED134_02425	MED134_05474	MED134_06814
MED134_00515		MED134_04499	MED134_07169	MED134_09701	MED134_05764	MED134_00850	MED134_02440	MED134_07561	MED134_07014
MED134_00555		MED134_04624	MED134_07224	MED134_10765	MED134_05769	MED134_00910	MED134_02445	MED134_07746	MED134_07029
MED134_00660		MED134_06134	MED134_07421	MED134_10770	MED134_05774	MED134_00960	MED134_02450	MED134_08031	MED134_07059
MED134_00945		MED134_06374	MED134_07621	MED134_10775	MED134_05779	MED134_01030	MED134_02510	MED134_08291	MED134_07389
MED134_00950		MED134_06409	MED134_07626	MED134_11956	MED134_05804	MED134_01220	MED134_02900	MED134_08756	MED134_07736
MED134_00965		MED134_06504	MED134_09441	MED134_11961	MED134_05834	MED134_01265	MED134_02950	MED134_08956	MED134_07836
MED134_01040		MED134_07069	MED134_09761	MED134_12296	MED134_06279	MED134_01290	MED134_02970	MED134_09016	MED134_07841
MED134_01090		MED134_08896	MED134_09841	MED134_12561	MED134_08146	MED134_01325	MED134_03469	MED134_09076	MED134_08736
MED134_01095		MED134_10161	MED134_10985		MED134_08556	MED134_01385	MED134_03549	MED134_09251	MED134_08786
MED134_01100		MED134_11536	MED134_11441		MED134_09051	MED134_01390	MED134_03589	MED134_09421	MED134_08941
MED134_01135		MED134_11856	MED134_11516		MED134_09261	MED134_01420	MED134_04029	MED134_09426	MED134_09436
MED134_01190		MED134_13166	MED134_11826		MED134_09321	MED134_01505	MED134_04059	MED134_09661	MED134_10326
MED134_01340		MED134_13176	MED134_11831		MED134_09361	MED134_01510	MED134_04109	MED134_10066	MED134_12726
MED134_01345		MED134_13301	MED134_11871		MED134_09666	MED134_01570	MED134_04184	MED134_10261	MED134_13021
MED134_01370		MED134_13496	MED134_11976		MED134_09671	MED134_01575	MED134_04459	MED134_10485	MED134_13096
MED134_01415		MED134_13696	MED134_12756		MED134_09681	MED134_01620	MED134_04714	MED134_11456	MED134_13131
MED134_01460		MED134_13901	MED134_12786		MED134_09691	MED134_01625	MED134_04829	MED134_11681	MED134_13546
MED134_01480		MED134_13956	MED134_14502		MED134_09706	MED134_01640	MED134_05404	MED134_11691	MED134_14291
MED134_01520		MED134_14582	MED134_14687		MED134_09716	MED134_01645	MED134_07094	MED134_11696	MED134_15143
MED134_01585		MED134_16708			MED134_10361	MED134_01690	MED134_07546	MED134_11706	
MED134_01615					MED134_10386	MED134_01695	MED134_07596	MED134_11711	
MED134_01660					MED134_10810	MED134_01700	MED134_07691	MED134_11716	
MED134_01855					MED134_11100	MED134_01800	MED134_08066	MED134_11741	
MED134_01945					MED134_11105	MED134_01865	MED134_08081	MED134_11746	
MED134_02120					MED134_11911	MED134_01875	MED134_08391	MED134_11751	
MED134_02140					MED134_11916	MED134_01885	MED134_08396	MED134_12641	
MED134_02145					MED134_11921	MED134_01895	MED134_08401	MED134_12886	
MED134_02175					MED134_11926	MED134_02020	MED134_08881	MED134_13231	
MED134_02185					MED134_11931	MED134_02170	MED134_08891	MED134_13431	
MED134_02190					MED134_11936	MED134_02285	MED134_08971	MED134_13511	
MED134_02195					MED134_11941	MED134_02290	MED134_09031	MED134_13631	
MED134_02235					MED134_11946	MED134_02295	MED134_09466	MED134_13641	
MED134_02240					MED134_12131	MED134_02360	MED134_09951	MED134_14096	
MED134_02275					MED134_12356	MED134_02465	MED134_09961	MED134_15850	
MED134_02310					MED134_12366	MED134_02470	MED134_10056	MED134_16129	
MED134_02340					MED134_12616	MED134_02495	MED134_10376		
MED134_02350					MED134_13416	MED134_02500	MED134_10615		
MED134_02355					MED134_13541	MED134_02590	MED134_10875		
MED134_02540					MED134_13971	MED134_02785	MED134_10880		
MED134_02550					MED134_16069	MED134_02865	MED134_11055		
MED134_02660						MED134_02895	MED134_11311		
MED134_02680						MED134_02905	MED134_11801		
MED134_02805						MED134_03055	MED134_12021		
MED134_02875						MED134_03060	MED134_12276		
MED134_02925						MED134_03065	MED134_12281		
MED134_02930						MED134_03075	MED134_12306		
MED134_02940						MED134_03090	MED134_12926		
MED134_03045						MED134_03339	MED134_13366		
MED134_03100						MED134_03379	MED134_13426		
MED134_03169						MED134_03419	MED134_13961		
MED134_03174						MED134_03424	MED134_14361		
MED134_03204						MED134_03429	MED134_14366		
MED134_03219						MED134_03489	MED134_14401		
MED134_03259						MED134_03504	MED134_14421		
MED134_03274						MED134_03509	MED134_17819		
MED134_03289						MED134_03564			
MED134_03294						MED134_03599			
MED134_03319						MED134_03689			
MED134_03364						MED134_03744			
MED134_03644						MED134_03819			
MED134_03649						MED134_03844			
MED134_03654						MED134_03859			
MED134_03684						MED134_03954			
MED134_03714						MED134_04179			
MED134_03724						MED134_04219			
MED134_03749						MED134_04259			
MED134_03754						MED134_04384			
MED134_03759						MED134_04389			
MED134_03769						MED134_04429			
MED134_03789						MED134_04524			
MED134_03794						MED134_04534			
MED134_03799						MED134_04584			
MED134_03834						MED134_04604			
MED134_03874						MED134_04689			
MED134_03884						MED134_04709			
MED134_03974						MED134_04769			
MED134_03999						MED134_04804			
