Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_07646	-1.2508294371340025	-0.21809463055924508	1.5390013819528832	0.48549852323298476	-1.37786394387291	-0.57485225141307	1.23646497954956	0.16067537824380565
MED134_07651	1.231810921685854	0.06567015877436663	-0.3374987646110745	-1.3436593707663602	0.6815596285331678	0.25950325235404187	1.1126730377941505	-1.6700588637641147
MED134_07656	0.4714352376995227	-0.07300143030461856	0.9382619583944872	-1.232450206674602	0.33767466698460546	-1.668310496256997	1.5415942823514321	-0.3152040121938301
MED134_07666	1.1758132725738952	0.1943437045366499	-0.12040989859313686	-2.194254726885254	1.045723648191115	0.47994332371357956	0.06836650437508676	-0.6495258279119502
MED134_07681	0.6278506896851066	1.404280847025316	0.027981006861136568	-1.1849215358306875	0.47800160183296236	1.0163106435746734	-0.9016163741058203	-1.4678868790426962
MED134_07686	0.44031661871216765	1.1720950325408588	-0.04603082666732176	-1.066723350825915	0.7190890552502097	1.2592408910998814	-0.9947505448814626	-1.4832368752284144
MED134_07706	0.033435716528233655	-1.4441856324449174	0.335626956721711	0.8422758923745418	0.335626956721711	-1.7558669201047488	1.3408747892026043	0.3122122410008419
MED134_07711	0.7024169625733939	-1.005764788635048	0.1170440340050891	-0.9392286918831066	1.6818794473015353	-0.5143824647851015	1.0981713268964117	-1.1401358254731269
MED134_07716	-1.0488565916570491	-0.5520165022031237	-0.3256428680161135	1.6979692771097734	-1.155246396867924	-0.16430769457079883	0.05081618491552389	1.4972845912897383
MED134_07726	-1.298865404185929	-0.5064585435650549	1.0276124930134696	0.8450745105260128	-1.4512858969414253	-0.542304585732802	1.0872285250276519	0.8389989018580664
MED134_07731	-1.2843764123321244	-0.46849710619085044	1.1672385037582063	0.9225023626935714	-1.2605148450800001	-0.8562098285128851	0.9657322383927373	0.8141250872713451
MED134_07741	-0.9281453959846903	-0.24298732100377404	0.4918264450351384	-1.5872316945894207	0.6540694222701549	0.5718641586450612	1.7495380149027193	-0.708933629275223
MED134_07751	-0.7869150802539927	0.19342316951329142	-0.15722367327558082	-0.8326011856224386	1.117687210098644	0.37985205772794867	1.659709232737512	-1.5739317309253729
MED134_07761	0.24909323060950553	1.3109161470263848	-0.025172045009939248	-1.2721687322859587	0.2394157568565944	1.2591209440514075	-0.041920055799883026	-1.7192852454481142
MED134_07776	-0.7494856583140989	0.23216283887682715	0.25356905928566464	1.095190703080305	-1.0171147564092193	-1.6746535696503184	1.4551553518002207	0.40517603133061
MED134_07786	-1.0154704906952532	-0.2692569345250845	0.8278403271707855	1.079419773445954	-1.5890984851104781	-0.8778967172196409	1.07858995849876	0.7658725684349543
MED134_07816	-0.21673665604646652	-0.39331727053283827	-0.4361657755331238	1.9782469017332265	0.03309898509528879	-0.9502250372406094	-1.188655715182607	1.1737545677071262
MED134_07831	-0.9307671119072035	-0.6291960917269177	0.6464099902347814	-0.10889146325890255	-1.5973703963513348	0.7080866565414442	1.8007754372469025	0.11095297922122435
MED134_07841	-1.4299715846392822	-0.04245259553984973	1.3352724066195214	-0.03101594994346294	-1.5347500138563592	0.2566999314335586	1.3157045595058925	0.1305132464199825
MED134_07846	-0.800536822786629	0.10833755288178643	1.5501125599732783	-0.6340872812246819	-1.0964050245095551	0.1700559554730956	1.5891419383724326	-0.8866188781797392
MED134_07851	-1.139148308791846	0.12365037050496498	1.3566555307829686	-0.4370181646228821	-1.0726014199018028	0.1014639441576448	1.7429496132562399	-0.6759515653852914
MED134_07856	-1.5521649069699803	0.16669741550343622	1.4694667765617209	-0.4969663125257616	-1.002408659749351	0.28008727269893585	1.4129181440608038	-0.2776297295798019
MED134_07866	-0.6299707438064058	0.3998996486345785	1.4199757054515336	-0.9595300115799585	-0.920042632291871	0.015185505962619441	1.6472061299295038	-0.9727236023000061
MED134_07876	1.4792427654171771	0.1774960722244859	0.36418889961561834	-1.5485092984011322	1.2715422221726607	-0.08057902947906906	-0.48305809024578095	-1.1803235413039699
MED134_07881	1.5139532806753642	-0.07804321398757759	0.7921313222601378	-1.6393341290659642	0.9880579301999648	-0.11956335556314851	-0.31952033866287965	-1.1376814958559067
MED134_07901	-0.16327803586348572	-0.41782994003677504	1.6249292548598238	-0.7866276651611478	-0.5800149093988236	-0.3829342734848275	1.7326384236999228	-1.0268828546146909
