Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_12456	1.2712678507244681	0.602215828876882	-0.5872000558890315	-0.9418630706588546	1.479895418277263	-0.7748802589066988	0.32619831936600996	-1.3756340317900528
MED134_12461	0.8930814961571472	-0.11555105020828771	0.17558656653510682	-0.8646431946530658	1.5448669675682944	-1.1309205119036105	0.8930814961571472	-1.3955017696526786
MED134_12466	1.3172013926085682	0.3084643628577455	-0.29136921899626816	-1.0602778957367724	1.1458707404113655	-0.39650154076377286	0.7062655267353307	-1.7296533671162695
MED134_12471	0.8783087809425341	0.17598894819855662	-0.9515468373447464	-0.753822285008414	1.841297568101883	-0.8526858835150841	0.7114274116827208	-1.0489677030574998
MED134_12476	1.1234061971568454	0.5259146664085198	0.0677850965236899	-1.2985329404637889	1.0406955715440707	-0.31731864363602635	0.640393349143358	-1.7823432966766688
MED134_12481	0.8127822533652987	0.5485740517405534	-0.3105172953605757	-1.1722232852571264	1.5484972109197601	-1.0987430524467952	0.8127822533652987	-1.1411521363264292
MED134_12486	1.1156976174102318	0.31364258121810046	-1.0669440913544126	-1.1170003774040929	1.4549934956143582	-0.8089186410091301	0.9184240864322106	-0.8098946709072807
MED134_12491	0.6696423227577409	0.6871995570102216	-0.4392168483425653	-1.4145205044717215	0.986186562660606	-0.5029255814932658	1.359585741359265	-1.3459512494802919
MED134_12496	0.4259702025708283	0.7984828505553146	-1.2120996095168963	-0.8063098725436649	1.3178856576993545	-1.5583347855364313	0.9423063607136362	0.09209919605793412
MED134_12501	0.7224452653494818	0.295605249359212	-0.2104093728371006	-1.049207541273755	1.4377954424602353	-1.0077875725277008	1.1597599636838642	-1.348201434214219
MED134_12506	1.6104909678943613	-0.11875654236162576	-0.4521945752151821	-0.46770832716637256	0.9336160058397444	-1.573926714213048	0.9336160058397444	-0.8651368206176362
MED134_12511	0.47816562188249373	-0.4592016609550488	0.13388360483108414	-0.9402514857977848	0.725943018616544	-0.8004964423092833	2.0308569086083486	-1.1688995648763696
MED134_12516	0.34025396660052737	0.31074301835945267	0.6175766647483686	-1.295108473941824	0.46846882214947383	0.058722832511308054	1.3899031354103517	-1.8905599658376435
MED134_12526	0.7701126990450003	0.5522914002873421	0.9754266564735883	-1.7279419919984476	0.7701126990450003	-0.763766949159594	0.6664044351079851	-1.2426389488008744
MED134_12531	1.2398978995313121	-0.14958210794115828	0.943815212867465	-1.539345077738629	-0.5070534928897947	-0.8635928051340925	1.3848849085883725	-0.5090245372834001
MED134_12536	-0.022845566290662103	-0.5434924260133235	1.7915943751666856	-0.8096626127246295	-0.6061078845993073	-0.7106020821194604	1.5820179571978459	-0.6809017606172165
MED134_12541	0.17867503576307084	-0.6801334967669981	1.1362993896839804	-0.5705586223357401	0.17867503576307084	-1.6490272356434996	1.7396275255084759	-0.33355763197234595
MED134_12546	0.19164909704812308	-2.1525598775193377	-0.01150927594960028	0.7498994200535994	1.6015217738087217	-0.41704432462286306	-0.09877779294413115	0.1368209801254012
MED134_12551	-1.239915107224151	-0.9254639942369614	0.5927506789584712	1.6065145576907507	-1.022678189009776	-0.4890375175294105	0.35364472587150936	1.1241848454795482
MED134_12556	-1.0086298711315274	-0.7532082434471395	0.30815709902964195	1.1566782982005075	-0.9933358805807083	-0.6999446213635174	0.12186463447460463	1.8684185848181045
MED134_12561	0.9022256080242864	0.8842094245500982	-1.61320571609232	0.4328439820159581	0.804619814669857	0.31441692318624254	-1.69324830816185	-0.03186172819227965
MED134_12576	-0.6375461236625046	-0.8064734007701811	0.3277462776071156	1.2520307155674761	-1.0274567181132577	-0.568400913487427	-0.4581089798928542	1.9182091427515109
MED134_12581	-0.7172293873209024	0.1030420221306275	0.24352110737422036	1.4810558493026207	-2.12947147037281	-0.08520305047606493	0.7398982683166514	0.36438666104578527
MED134_12586	-0.18580110449883863	-1.3672037990706118	1.188982001639632	0.5343500931725333	-0.9453021292558982	-1.139189514381502	1.3893216612441934	0.5248427911504505
MED134_12591	1.331325234912161	-0.05953742939512926	-0.9389801520067197	-1.246553565852185	1.6020170138988459	0.5031482075621847	-0.2357844690554932	-0.9556348400636854
MED134_12596	1.21201973361245	0.33826234890227674	0.1474829058796835	-1.5929425133379482	0.6814648784269461	0.31825871868427114	0.6056724904856345	-1.7102185626532962
MED134_12601	1.2480124548848044	0.3709730896306313	-0.027599409714440797	-1.2991866852946292	0.9411764796006872	-0.0801133317545078	0.6600896657401802	-1.8133522630927352
MED134_12611	1.802198761477866	0.634992400952007	-0.9607727221348226	-0.7737468343236126	1.1280442146567384	-0.17848466398316817	-0.5452050368286937	-1.107026119816323
MED134_12616	1.5089640237133177	0.5319880024430842	-1.38719514057905	0.15852712451255668	1.2434975188776978	-0.11055477465347736	-1.1142345843255412	-0.8309921699886218
MED134_12621	-0.5780971531520013	-1.5194605616674437	-0.04307540926908551	1.6824044266927374	0.17642363515129605	-0.5160049192056356	-0.5780971531520013	1.3759071346020888
MED134_12631	1.1162348863900264	0.3814504829701827	0.42425650328538533	-1.7280557946965631	0.6147447182822215	0.3599142012754056	0.4768935558179694	-1.645438553324626
MED134_12636	1.0136117879680109	0.7032549309627925	0.40238786074711536	-1.9591902166371689	0.44212395579447755	0.5353189581786179	0.2524284265745189	-1.3899357035883666
MED134_12641	-0.00669466195976338	1.3085745624087952	0.29743346751538813	-1.6826795801170609	-1.1516052246105097	0.8873650867149145	0.9463587009926506	-0.5987523509443878
MED134_12646	-0.6231954975864764	-0.5730488793272889	-0.4622489091851026	1.7268664763565402	-0.7354882701478526	-0.5683018523308995	-0.4914495441354552	1.7268664763565402
MED134_12651	1.3268146770815734	1.1029042940294658	0.14503029124240557	0.5908344592477418	-0.01991884650126888	-0.09841527385550843	-1.5166107232138484	-1.530638878030553
MED134_12656	-1.3741739728563227	0.45051751359279635	-0.053513480032720474	1.6161641793658894	-1.2078822169427785	-0.33783700891226776	-0.35584734408977226	1.2625723298752702
MED134_12661	-1.8098460145467143	0.31101516351176073	0.8994811512384228	0.41342425082707746	-1.501933379235137	0.6912550991177981	0.9551902726684617	0.04141345641831565
MED134_12666	0.9476097128824378	-0.0730028354887783	0.8867655270307958	-1.4497259267813394	0.8114631485706604	-0.3005677604791084	0.8380382912197952	-1.6605801569544947
MED134_12681	1.7039081221089298	-0.18047595488232984	-0.9302711800942641	-0.009696213641176647	1.3926828775459075	0.11649077991231009	-1.2135369709469699	-0.8791014600023755
MED134_12691	-1.678233427251398	0.5858173585508273	-0.2940599414741376	1.3933312736059993	-1.379105397292943	0.04349168494321067	0.5506150657787572	0.7781433831396354
MED134_12696	-1.6859072632991092	0.7439579766483015	0.6791411850868337	0.814319309188012	-1.6859072632991092	0.1857921689281018	0.19756394048649453	0.7510399462604039
MED134_12701	-1.618854211809342	-0.288306083795353	0.34229452053377746	1.438891503373948	-1.3400538627904133	0.31311844722195714	0.0519415191979645	1.1009681680674344
MED134_12706	-1.8630591410968083	0.2928579760533809	0.4885156633859638	0.8990740581617416	-1.5324384297010283	0.4307577084729498	0.5049597113446671	0.7793324533791605
MED134_12711	-1.6921394527246998	-0.09320612529223318	0.1062715649041469	1.3520613883565902	-1.382918411669933	0.29011686561366545	0.3330478421339353	1.0867663286785136
MED134_12716	-1.8387648932002711	0.3586455289730719	0.10917455847175303	0.9343148840372439	-1.5121131228028197	0.5620922785685941	0.5490692458561597	0.8375815200962882
