index,D_10_R1,D_10_R2,D_10_R3,D_18_R1,D_18_R2,D_18_R3,D_18_R4,D_25_R1,D_25_R2,D_25_R3,D_34_R1,D_34_R2,D_34_R3,D_34_R4,L_10_R1,L_10_R2,L_10_R3,L_18_R1,L_18_R2,L_18_R3,L_18_R4,L_25_R1,L_25_R2,L_25_R3,L_34_R1,L_34_R2,L_34_R3,L_34_R4
MED134_07389,125.42062183792804,102.20063972888269,131.4054353390836,205.13956387246537,184.167877498017,229.72583279933664,214.7675063884103,316.49419968926605,284.06694589782364,264.98066174076075,290.79970170573534,297.0293175324244,327.369962245945,277.44753214058164,147.5383612571108,116.44929621588699,118.82138856162655,211.9563733935311,213.35447249269012,230.1531316534731,212.53109725749803,306.40004964911384,329.0576050338915,316.0595244419305,276.04238949600983,325.4594134467669,294.6186393051322,337.5117725738483
MED134_07384,119.55511996558606,110.46910191914343,122.23833554833114,221.32571597456715,209.48729904160746,248.59085060060772,223.3931955411906,352.4996507539593,314.2843026500923,289.9793022462755,338.9463841464838,336.6494477456645,415.66020129433974,352.35978952829333,131.03005274870725,105.72733758027725,125.42039297127698,228.4675368438466,267.29069098574973,229.24950936188347,243.01483038232885,334.3320933886054,346.7882227089469,360.6050764902544,298.2800068065385,396.377903432931,367.55109005005374,362.37013408362384
MED134_07379,97.6003558278417,88.14762173882939,96.37283461208777,143.56492283682522,141.14743766728364,158.64431311674602,143.1680347688158,231.58483626845813,197.30858274526477,211.2599969893448,225.49163103821155,218.1588029703132,261.50000269132585,223.5756434473455,90.80497482211288,81.8747854866169,96.36765826236031,140.9205321584513,178.29937803680104,153.00013247493067,154.5457277248662,209.63700041863967,211.1422175617939,216.20938162543678,210.35373838055324,237.57529562327557,231.1076533724977,239.59492258215693
MED134_07374,243.9159047396458,241.22795105657192,176.7850372002816,298.45894606719025,288.08620949460067,308.44721316628335,316.07677684379973,343.86869250497404,369.50444091905746,371.27551469789995,348.6859068525045,370.7242223625806,314.6343954343911,357.28108692670276,226.56370629758567,223.71982319538202,202.27085972702582,302.6049597025065,299.6526935743592,312.1880740362501,354.0031011883091,353.6974163938822,359.92251672910936,378.11391939974936,367.4509495304583,412.941036421543,359.6895868941745,394.4353973671524
MED134_07369,284.2416545690396,253.27492407523283,294.9101028163992,356.1444242303972,322.76376941634857,353.97591953824576,390.9813532062007,386.57012988044096,427.26950258439933,373.0491790684126,452.57541207293644,416.2767045491257,348.9754083493863,433.0960284521538,309.39097413097926,297.7358598599773,270.9496593323707,405.7940490049702,470.58632861453964,467.96408447558434,448.02040007006946,405.44582748071105,461.996249493407,452.22758993367194,541.0278306270534,527.2613467366264,412.76454799088384,423.3988421805482
MED134_07364,218.84037711573816,202.81187109945782,247.54107942834474,278.3459092267833,275.6942517919437,288.15353643473173,307.40944709308565,308.8791137341652,343.3484654680332,279.19044872575597,363.1727244234809,321.0828835763762,258.9993350522723,330.8615392916865,208.7869262006394,232.01453671289016,223.26146802492497,305.44973052422495,311.03185390243397,346.68848601040054,319.3208665084799,336.5797171477002,352.22524952298943,360.64863552930404,411.7832817248911,412.31919048138354,311.13590168135505,317.16065986289675
MED134_07359,1872.5979704735075,1511.3868553301322,2475.1829306526834,1571.4544287092879,1473.6893229242073,1575.3787605592267,2116.1139435465684,1317.590658258621,2069.7977986006617,1246.2969278067524,1231.4780351474833,1223.736601841044,1003.3806027501518,1718.3723561189406,1667.767880182184,2402.157354116259,2018.072616072882,2035.566346696123,1874.5792532393727,2773.636261573991,2329.4008309882674,1657.9008120424166,2043.3529500450993,2154.656893245835,1828.7889046430207,1566.7613309421386,1675.686588915807,1357.282652529582
MED134_07354,232.15504986643967,223.45605113593749,187.53052733787254,229.82591313417964,238.656883802526,221.4473715670292,247.48275783343348,233.2857777353945,255.73410065295735,249.51150155671223,201.16242927194966,187.4745268226424,181.4398810963865,201.3100001613431,238.51925775253622,226.25803461664148,209.51524388210308,241.76019842518207,234.40394791695206,258.35575278037095,255.37132120467334,249.2693524994731,235.06056196317058,257.4865420143645,225.52848473865905,221.0082445320964,203.7844122390888,206.41200773965488
MED134_07349,67.23285381075507,61.07730546587116,58.40552363963843,71.73857403642093,72.96627696447055,81.66425298715343,72.45164630456915,77.7526637510657,78.151729905928,86.62898604210201,83.38415198359965,85.91667967847094,89.90884400313892,76.79848164963246,60.784837864455156,59.23656166800119,60.96929319943433,69.68749386997443,73.79366038016332,71.17807432984769,65.76236073747636,80.99043873535801,77.06187440819411,79.20813562615287,65.59318741147729,87.42986090901854,80.03270681884254,82.69905181793068
MED134_07344,24.91312363436686,23.24144737450514,26.911893137272877,33.714537198068946,34.84311090045711,35.07687256311357,35.33608470131268,48.09546027430123,44.192917358141784,46.27574284437063,50.45682366735001,48.50652300040398,37.90872420238787,38.724462712064295,21.083240912955933,22.584243885345064,27.610942617490316,34.67878624706466,37.733984517147846,38.82996202512425,33.7437612026778,40.68118258784104,39.420789545990125,44.82597421422556,53.18841561639597,60.115849616585855,40.41169306707109,40.71368322868399
