	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
C0	-1.1185669745585902	-0.38875764423665765	0.28400623076639164	1.438751473871672	-1.2126997997263216	-0.5045281078698796	0.20586217550988542	1.2959326462435006
C1	-0.6059324384668429	-0.7348023758905229	-0.35095995992962786	1.4898090217598505	-0.4561056855535771	-0.7493236344701008	-0.2939449324776218	1.7012600050284403
C2	-1.4437665855235537	-0.10982652214286967	0.8685879655521558	0.5878333590903583	-1.532268861305152	-0.06964258262209647	0.7889478394343082	0.9101353875168512
C3	0.12179442349893217	0.6212470483668979	0.8615408998694613	-1.4894502104552825	-0.055567958798536175	0.6582440907361687	0.8544602087656621	-1.5722685019833074
C4	0.9598131177540897	0.4228451643249599	0.1775988320843202	-1.5855425522587638	0.9121473908749729	0.40700732068141826	0.22477562064912238	-1.5186448941101194
C5	1.388234535200876	0.26613158982455903	-0.6378232962402398	-1.028233012391069	1.3585922107180393	0.28790787620468977	-0.4479920952364897	-1.1868178080803653
C6	1.4808834626195957	-0.01698905863935245	-1.1087319622561138	-0.5189753579102012	1.427073153724206	0.19105328161748278	-1.0250833506061023	-0.4292301685495137
C7	0.9257868568630332	0.083737605452992	0.7607338089945973	-1.4525172127880723	0.812237757799327	-0.714767858215942	0.8389510629696177	-1.254162021075537
