ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3_T1	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2_T1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4_T1	L_34_R4_T2	L_34_R4_T3	L_34_R4
MED134_07389	126.651810363764	103.199289630313	132.954350053171	207.076817116318	186.093461806266	230.692835356277	232.104483146164	217.039082783285	319.508619885927	287.121249276517	267.844848901929	295.078651969668	288.559652709577	301.742343590903	332.424642445652	281.384610741015	149.177296698165	117.908553315927	120.087300648898	213.922754934815	215.290130782346	232.179319378888	214.457173419012	309.890336430927	332.91748139657	319.950738615923	279.889139155039	329.78895237656	298.880371898067	360.335350910682	386.297759688295	364.639361700493	342.59066044138
MED134_07384	93.13359166259	86.0517361056277	95.4096646734699	172.349350365673	163.294158528961	187.033790373853	193.755729868011	174.154632479676	274.518258370939	245.054703629966	226.116283449753	265.320348533126	250.35234008212	263.821732455015	325.603110738972	275.677636798637	102.203181017847	82.5831526874387	97.7836707576294	177.881475059118	208.066386016328	178.406543761062	189.167529023885	260.851290470882	270.660405241624	281.605926780187	233.308269489851	309.844949646243	287.640881117116	261.62356864518	259.296074202692	255.916423754167	283.749241909563
MED134_07379	98.5584473797084	89.0089530768164	97.5088097046234	144.920690623491	142.623217780591	169.195430390153	160.28696403597	144.682310060038	233.79054496193	199.430055446073	213.543515216941	228.809610625144	220.551825660717	221.620374143918	265.537633012565	226.748260895421	91.8136853038611	82.900780197775	97.3943503831401	142.227893332771	179.916999008629	154.347092162945	155.9463079029	212.02503283697	213.618935444203	218.87127581077	213.285093136858	240.735724999906	234.450683607031	235.404477556993	225.517344696211	240.79856070587	243.20035458278
MED134_07374	216.411361294224	214.016967674038	157.156450369796	264.706215521401	255.762687144088	286.495248654451	273.811717861387	280.646379260188	305.004991110668	328.141969278713	329.733378073695	310.867781130818	344.046900842392	330.891331132232	280.710116353091	318.366224561909	201.273038493842	199.026265902662	179.611138058708	268.339143646632	265.667262694822	276.707186390393	313.850369753118	314.303034818621	319.941936936264	336.305821293944	327.34606680363	367.641723972929	320.599267263288	356.062593984387	363.588950561402	366.115815893203	351.7709410961
MED134_07359	1890.98028353308	1526.15531801395	2504.35864360134	1586.29459475096	1489.09761819267	1839.35890057352	1591.69070593135	2138.49588839409	1330.13993055203	2092.05237802559	1259.76820392244	1249.59852575532	1441.56607603022	1243.15388543145	1018.87306892114	1742.75666755489	1686.29434247303	2432.25942676347	2039.57297512947	2054.45089367207	1891.58637209072	2798.05438574894	2350.51116951788	1676.78641371401	2067.32167051176	2181.18427430765	1854.27373365141	1587.60372755366	1699.9258161703	1388.23147197106	1447.7969630246	1408.2405189335	1377.70708496989
MED134_07354	234.433994344804	225.639543959788	189.741005103763	231.996294056006	241.152182965164	230.209598130405	223.740304237087	250.100360469357	235.507686891043	258.483767725988	252.208481912289	204.122418655631	189.008491998632	190.449224194459	184.241361623565	204.166660256942	241.168857907871	229.093334220714	211.747399918222	244.003078806598	236.530577556408	260.630226524496	257.685639534807	252.108847881855	237.817844253686	260.656626142244	228.671305025622	223.948284853479	206.732204930073	205.72319534965	200.762057710026	204.530883855762	209.518102184382
MED134_07344	24.7446974993716	23.083293707099	26.7821220579743	33.4742433506938	34.6294559531645	40.0478280635538	34.8582895292902	35.1236233572455	47.7564925534478	43.9348166603689	46.0080716260479	50.3587863513977	50.7522389815054	48.4672747059169	37.8621319033393	38.6292600918282	20.9675005127178	22.4918672286396	27.44702047458	34.4259477336441	37.4512700948193	38.5287681919199	33.4906129115482	40.4691688307109	39.2284817215237	44.632938986439	53.0443137744649	59.9155800977384	40.3232691609732	44.1417095916878	42.184262795027	43.5677704832982	40.6479361900351
MED134_07339	35.5971756382128	42.6966375919107	32.9690474361643	43.52917159727	44.1373624587882	47.3958154625293	41.2346271541125	43.6961216212568	47.7346265724185	46.807993113584	52.9262684723486	101.30226922338	111.330896812885	94.7737876153311	84.3527698969526	75.690495041363	39.9781310142314	32.1625267406847	36.0630155405524	37.2640648799225	41.0124140715871	36.2435175649851	46.1322665870318	47.7921587851551	42.8879007903264	47.9822724378899	73.1414397427229	96.7354806038082	82.6399818151236	73.2147526049447	71.8629128312359	72.6286058272301	68.7410427748985
MED134_07329	133.778598428634	141.918099385291	142.09697481319	96.0336180448519	93.357542667971	93.1413291549039	87.1513397292792	87.0558686250005	65.521408563954	65.2315414886705	91.5639949619776	120.638843318591	134.694458371782	124.438983175362	128.650517316616	111.718776570406	132.092369704864	115.719966304969	138.904576314712	81.519249207506	98.4576876805839	80.9218010162906	96.6315053803053	63.0047715766907	57.6727987524336	61.0844306815992	115.485983182176	127.722577407903	125.339574708648	94.2436154677953	88.887658816045	98.3387181401843	119.767606156524
MED134_07319	48.4016120429221	43.8191412329374	111.036234586857	42.2644363397827	39.926295516381	27.9601941015348	35.1713735738716	52.5545270359703	20.9103554602131	32.354454635171	35.0407040931719	38.6942018860291	43.7309271488626	54.0060498341799	43.9741041170237	54.8988543612132	77.6820136757411	95.5664089689919	75.6165620474291	46.9038180343627	58.8629034707129	71.9371994314668	71.404226653291	26.8482017979168	31.790343475732	34.4318241674385	45.9822338654926	55.410335220086	49.6619542318184	12.5813996581629	12.1745225965088	10.6756327104389	38.5985436127832
