C0 (261 genes)	C1 (318 genes)	C2 (161 genes)	C3 (59 genes)	C4 (126 genes)	C5 (74 genes)
MED134_06959	MED134_11351	MED134_13301			
MED134_06974	MED134_11356	MED134_13346			
MED134_06989	MED134_11366	MED134_13381			
MED134_07054	MED134_11371	MED134_13391			
MED134_07074	MED134_11451	MED134_13486			
MED134_07089	MED134_11501	MED134_13491			
MED134_07129	MED134_11601	MED134_13496			
MED134_07194	MED134_11636	MED134_13696			
MED134_07229	MED134_11836	MED134_13871			
MED134_07234	MED134_12006	MED134_13951			
MED134_07239	MED134_12011	MED134_14016			
MED134_07269	MED134_12061	MED134_14106			
MED134_07491	MED134_12076	MED134_14176			
MED134_07576	MED134_12191	MED134_14216			
MED134_07611	MED134_12351	MED134_14281			
MED134_07721	MED134_12391	MED134_14286			
MED134_07871	MED134_12396	MED134_14301			
MED134_08041	MED134_12416	MED134_14632			
MED134_08046	MED134_12421	MED134_15422			
MED134_08051	MED134_12426	MED134_16706			
MED134_08166	MED134_12431	MED134_16708			
MED134_08496	MED134_12436				
MED134_08501	MED134_12441				
MED134_08506	MED134_12446				
MED134_08536	MED134_12451				
MED134_08541	MED134_12456				
MED134_08621	MED134_12461				
MED134_08631	MED134_12466				
MED134_08651	MED134_12471				
MED134_08656	MED134_12476				
MED134_08816	MED134_12481				
MED134_08856	MED134_12486				
MED134_08866	MED134_12491				
MED134_08911	MED134_12496				
MED134_08986	MED134_12511				
MED134_09101	MED134_12536				
MED134_09126	MED134_12546				
MED134_09156	MED134_12576				
MED134_09171	MED134_12596				
MED134_09301	MED134_12601				
MED134_09486	MED134_12926				
MED134_09641	MED134_12931				
MED134_09996	MED134_12936				
MED134_10071	MED134_13011				
MED134_10076	MED134_13101				
MED134_10086	MED134_13366				
MED134_10091	MED134_13401				
MED134_10096	MED134_13451				
MED134_10101	MED134_13516				
MED134_10106	MED134_13536				
MED134_10620	MED134_13711				
MED134_10625	MED134_13891				
MED134_10630	MED134_14056				
MED134_10715	MED134_14061				
MED134_10840	MED134_14091				
MED134_10935	MED134_14156				
MED134_10980	MED134_14191				
MED134_11125	MED134_14246				
MED134_11135	MED134_14346				
MED134_11165	MED134_14411				
MED134_11591	MED134_14717				
MED134_11631	MED134_14782				
MED134_11786	MED134_14792				
MED134_11861	MED134_14802				
MED134_11896	MED134_15124				
MED134_12041	MED134_17896				
MED134_12101	MED134_00150				
MED134_12141	MED134_00810				
MED134_12146	MED134_01030				
MED134_12171	MED134_01220				
MED134_12206	MED134_01295				
MED134_12211	MED134_01420				
MED134_12231	MED134_01430				
MED134_12241	MED134_01575				
MED134_12346	MED134_01690				
MED134_12551	MED134_01700				
MED134_12556	MED134_01800				
MED134_12701	MED134_01870				
MED134_12711	MED134_02060				
MED134_12741	MED134_02430				
MED134_12791	MED134_02470				
MED134_12796	MED134_02520				
