,index,D_10_R1,D_10_R2,D_10_R3,D_18_R1,D_18_R2,D_18_R3,D_18_R4,D_25_R2,D_25_R3,D_34_R1,D_34_R2,D_34_R3,D_34_R4,L_10_R1,L_10_R2,L_10_R3,L_18_R1,L_18_R2,L_18_R3,L_18_R4,L_25_R1,L_25_R2,L_25_R3,L_34_R1,L_34_R2,L_34_R3,L_34_R4
0,MED134_07389,0.3272742595312473,0.4023255678971225,0.31931914265460354,1.5046001050768145,2.588597088260621,1.816263452032003,,1.2525337743094076,1.3779248042230745,1.724156832213833,1.4585675293315177,1.0706526458592325,1.1520266385486897,0.13972735256190624,0.3743779313698755,0.4302351708856878,1.063678408773873,1.0242042265474522,0.6006706744894799,,1.16275255594515,1.0910352316041525,1.4970913155809722,0.8945846864673643,0.9695256531675013,1.2718703565325202,1.4741535905849465
1,MED134_07384,0.03927896570493734,0.05475374217399138,0.037399691298765726,0.20438663914314098,0.37072957841866955,0.24745892061137253,,0.17447788897899594,0.18985730104586643,0.25302461958702716,0.2081393023974068,0.1711579887265538,0.1842115945258785,0.015624148411027026,0.04279663597498021,0.057177927377077796,0.14435682706126704,0.16155396104999492,0.07533155295434989,,0.15974434896731488,0.1447705242482344,0.21506028136843894,0.12170790601023393,0.14866915334857175,0.1997787565154637,0.19927607931654584
2,MED134_07379,0.08577295015850156,0.11686666898744527,0.07887190052890478,0.3546304714748057,0.668158690591276,0.42242495413598474,,0.29300212360810757,0.3699854578214469,0.45026613699533297,0.36079126405544426,0.28802985884880217,0.3126527063053901,0.0289629080249418,0.08865017451960185,0.11751644370464734,0.23817390972948588,0.2882641855708763,0.13448300212729594,,0.267930686060883,0.2357751168031216,0.3449133395621316,0.22958946910270037,0.23835254494970973,0.33601061801795723,0.3524418455755794
3,MED134_07374,0.05012672116615959,0.07478903432640366,0.0338332258914092,0.17240209537338502,0.31890352788944615,0.19205965259332905,,0.12831418936667788,0.15205262616704088,0.1628184005575126,0.14337204024789055,0.0810405244014389,0.11683634466259084,0.016898692163262702,0.05664533094956795,0.05768074834647421,0.11959862438668432,0.11328940014348318,0.06416853561679221,,0.10571013755246192,0.0939857774834094,0.14105495701638116,0.0937845576705991,0.09688059329976385,0.12229164021938418,0.13568004223611838
4,MED134_07369,0.05264945499435081,0.07077493361396957,0.05087032753330827,0.1854219173380322,0.3220316908088283,0.19865796668980268,,0.1337315556246196,0.1377021383683691,0.1904745799077225,0.1451017297414978,0.08101544998176025,0.12765243828612866,0.020799235542949476,0.06794660711612116,0.06964070426140317,0.1445548926826637,0.16035679831210492,0.08669525374966142,,0.10921808690236234,0.10873479765609802,0.15205465549930997,0.12445964146858245,0.1114940419661042,0.12648769344841376,0.13127037713996048
5,MED134_07364,0.044677616097266545,0.06246504091103582,0.0470628847335628,0.15972619323421908,0.3031781683487683,0.17824304857923667,,0.11844684368256964,0.1135877593555888,0.16846732229712993,0.12335706182186369,0.06627169121070638,0.10748493038390709,0.015470324165067547,0.058359049056791186,0.06324769479336308,0.11992873375567875,0.11681787979200099,0.07079108972266912,,0.09993233862321414,0.09137070298470575,0.13365442458117538,0.10440806095651832,0.09609828876730453,0.10508782198036293,0.10838090166973048
6,MED134_07359,0.22533058553403998,0.2743673048358462,0.2773649786396865,0.5315035245794469,0.955188774680531,0.5743633143037763,,0.42085196729553326,0.29885846381689185,0.33669927285510914,0.2771072390313978,0.15132412276073137,0.329027070263246,0.07283578046181304,0.35612914936322815,0.33696188106265323,0.47106606955506075,0.4149744100917576,0.3338118465413033,,0.290128046232942,0.31242295036012574,0.47064151082472594,0.27330146351482665,0.21522762297021183,0.33358623170785123,0.27337374656817015
7,MED134_07354,0.07313405367926354,0.10619761183071254,0.05501513868239829,0.2035022738776178,0.40497028064433915,0.21136747102327866,,0.13613067496742243,0.15663922275160427,0.14398866142545474,0.11113941381146322,0.07163761702194027,0.10091265127238237,0.027270841319387538,0.08781647381879056,0.09158524799720376,0.14646952702283145,0.13584646646793644,0.08140222755140372,,0.11419996455054027,0.09409038046335753,0.1472422874130286,0.0882359763365521,0.07948214049786828,0.10620676950810415,0.10883971075487986
8,MED134_07349,0.03345145056181561,0.045845255505168346,0.02706176116527958,0.10032632623324372,0.19555245493326856,0.12310948448454109,,0.06570491361417943,0.08589444512909622,0.09426638152986452,0.08044428914713124,0.05606640240149052,0.06080297075176296,0.010976458693822784,0.03631229719089229,0.04209329829518541,0.06668209253687615,0.0675451818430556,0.035420630293553794,,0.05860338913951318,0.04871883791084911,0.07153848020698918,0.040531709988953,0.04966069172051849,0.06587803569576434,0.06887234155964528
9,MED134_07344,0.024218244750635734,0.03408464464593161,0.02436281437052329,0.09212138182533397,0.1824479886493703,0.10331454219512029,,0.07259270785641969,0.08964711506192082,0.11144851848786731,0.0887358165609311,0.046187081048097295,0.05990162961646814,0.007438501036754779,0.027048956070766707,0.037244667518862865,0.06483348007050731,0.0674821732779035,0.03775357548994225,,0.057512682198787836,0.04869268716586207,0.07910077291400275,0.06421467909769014,0.06671493052813196,0.06499220223630253,0.06624693401684609
