gene_id,product,subsystem,system,value
MED134_11356,translation initiation factor IF-2,Unspecified,Unspecified,0.9995297361939
MED134_13806,GTP-binding elongation factor family protein TypA/BipA,Unspecified,Unspecified,0.4705663485080729
